File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,1.5666666666666667,"['6', '18', '38', '68', '110']","['', '', '', '', '']","[2.0, 1.5, 1.5, 1.5, 1.3333333333333333]"
code_0.py,0.0,"['6', '18', '38', '68', '110']","['4', '10', '18', '28', '40']","[0.0, 0.0, 0.0, 0.0, 0.0]"
code_1.py,0.5666666666666667,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1.0, 0.5, 0.5, 0.5, 0.3333333333333333]"
code_5.py,0.06666666666666667,"['6', '18', '38', '68', '110']","['0', '0', '0', '0', '0']","[0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
code_2.py,0.06666666666666667,"['6', '18', '38', '68', '110']","['0', '0', '0', '0', '0']","[0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
code_11.py,0.06666666666666667,"['6', '18', '38', '68', '110']","['0', '0', '0', '0', '0']","[0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
code_6.py,0.5666666666666667,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1.0, 0.5, 0.5, 0.5, 0.3333333333333333]"
code_10.py,0.0,"['6', '18', '38', '68', '110']","['inf', 'inf', 'inf', 'inf', 'inf']","[0.0, 0.0, 0.0, 0.0, 0.0]"
code_7.py,0.5666666666666667,"['6', '18', '38', '68', '110']","['6', '18', '38', '68', '110']","[1.0, 0.5, 0.5, 0.5, 0.3333333333333333]"
code_3.py,0.06666666666666667,"['6', '18', '38', '68', '110']","['0', '0', '0', '0', '0']","[0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
code_8.py,1.5666666666666667,"['6', '18', '38', '68', '110']","['', '', '', '', '']","[2.0, 1.5, 1.5, 1.5, 1.3333333333333333]"
code_9.py,0.0,"['6', '18', '38', '68', '110']","['inf', 'inf', 'inf', 'inf', 'inf']","[0.0, 0.0, 0.0, 0.0, 0.0]"
