File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.2,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n4 L\n3 L\n2 L', 'INTERNAL ERROR OR TIMEOUT', 'NO', 'NO', 'YES\n5 L\n4 L\n3 L\n2 L\n1 L']","[0, 0, 1, 0, 0]"
code_0.py,0.4,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['NO', 'YES', 'NO', 'NO', 'NO']","[0, 0, 1, 0, 1]"
code_1.py,0.2,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 R\n1 R\n3 L\n1 R', 'YES\n1 R\n1 R\n1 R\n1 R', 'NO', 'NO', 'YES\n2 L']","[0, 0, 1, 0, 0]"
code_5.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n2 R\n2 L\n1 L\n2 R\n2 L\n1 L', 'YES\n5 L\n4 L\n3 L\n2 L\n1 L', 'YES\n1 R\n1 L\n1 L\n4 L\n2 R\n1 R\n1 L', 'YES\n1 L\n1 L\n3 R\n2 R\n1 R\n1 L', 'YES\n1 L\n1 L\n1 R\n1 L\n1 L']","[0, 0, 0, 0, 0]"
code_2.py,0.2,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n6 L\n1 R\n4 L\n3 L\n1 R\n1 L', 'YES\n5 L\n1 R\n3 L\n1 R\n1 L', 'NO', 'YES\n5 L\n4 L\n3 L\n1 R\n1 L', 'YES\n5 L\n4 L\n3 L\n1 R\n1 L']","[0, 0, 1, 0, 0]"
code_6.py,0.4,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['NO', 'NO', 'NO', 'NO', 'NO']","[0, 0, 1, 0, 1]"
code_10.py,0.2,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['NO', 'NO', 'NO', 'NO', 'YES\n1 R']","[0, 0, 1, 0, 0]"
code_7.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 R\n1 L\n1 R\n1 L', 'YES\n1 R\n1 L\n1 L\n1 L', 'YES\n1 R\n1 R', 'YES\n1 R\n1 L', 'YES\n1 R']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 L\n2 R\n3 R\n1 L', 'YES\n1 L\n1 L\n3 R\n1 L', 'YES\n2 R\n2 R', 'YES\n1 L\n2 R', 'YES\n2 R']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['NO', 'YES\n5 L\n4 L\n3 L\n2 L\n1 R', 'YES\n5 L\n4 L\n3 L\n1 R\n1 R', 'YES\n5 L\n4 L\n3 L\n2 L\n1 R', 'YES\n1 R\n1 R\n1 R\n1 R\n1 R']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['YES\n2 L\n1 R\n4 L\n3 L', 'YES\n5 L\n4 L\n3 L\n2 L', 'NO', 'YES\n5 L\n4 L', 'NO']","['YES\n1 L\n1 L', 'YES\n1 L', 'YES\n1 L\n1 L\n1 L', 'YES\n1 L\n1 L\n1 L', 'YES\n1 L\n1 L\n1 L\n1 L']","[0, 0, 0, 0, 0]"
