File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.4,"['2304', '1680', '6', '2', '19200']","['3360', '2520', '6', '2', '226800']","[0, 0, 1, 1, 0]"
code_0.py,0.0,"['2304', '1680', '6', '2', '19200']","['24', '60', '1', '1', '504']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '', '1', '']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['2304', '1680', '6', '2', '19200']","['302400', '1440', '2', '1', '7257600']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['2304', '1680', '6', '2', '19200']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['2304', '1680', '6', '2', '19200']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['2304', '1680', '6', '2', '19200']","['120', '60', '1', '1', '3780']","[0, 0, 0, 0, 0]"
code_3.py,0.2,"['2304', '1680', '6', '2', '19200']","['187400188', '9953280', '2', '2', '543134227']","[0, 0, 0, 1, 0]"
code_8.py,0.0,"['2304', '1680', '6', '2', '19200']","['', '', '1', '1', '']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['2304', '1680', '6', '2', '19200']","['20160', '5760', '2', '1', '34836480']","[0, 0, 0, 0, 0]"
