File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_18.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_13.py,0.6,"['22', '2', '4544916268', '2', '2']","['35', '2', '7728675073', '2', '2']","[0, 1, 0, 1, 1]"
code_4.py,0.6,"['22', '2', '4544916268', '2', '2']","['22', '101', '4544916268', '101', '2']","[1, 0, 1, 0, 1]"
code_17.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_23.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['22', '2', '4544916268', '2', '2']","['28', '1', '7317274476', '1', '1']","[0, 0, 0, 0, 0]"
code_16.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_22.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['22', '2', '4544916268', '2', '2']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 0]"
code_26.py,0.6,"['22', '2', '4544916268', '2', '2']","['35', '2', '7728675073', '2', '2']","[0, 1, 0, 1, 1]"
code_12.py,0.0,"['22', '2', '4544916268', '2', '2']","['7', '100', '411400597', '100', '100']","[0, 0, 0, 0, 0]"
code_5.py,0.6,"['22', '2', '4544916268', '2', '2']","['35', '2', '7728675073', '2', '2']","[0, 1, 0, 1, 1]"
code_15.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_21.py,0.6,"['22', '2', '4544916268', '2', '2']","['22', '101', '4544916268', '101', '2']","[1, 0, 1, 0, 1]"
code_2.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_25.py,0.0,"['22', '2', '4544916268', '2', '2']","['34', '1', '7521831434', '1', '1']","[0, 0, 0, 0, 0]"
code_11.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['22', '2', '4544916268', '2', '2']","['28', '-98', '7903487252', '-98', '-98']","[0, 0, 0, 0, 0]"
code_24.py,0.0,"['22', '2', '4544916268', '2', '2']","['28', '1', '7317274476', '1', '1']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['22', '2', '4544916268', '2', '2']","['1', '100', '69137441', '1', '1']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_14.py,0.0,"['22', '2', '4544916268', '2', '2']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_20.py,0.0,"['22', '2', '4544916268', '2', '2']","['1', '1', '206843639', '1', '1']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['22', '2', '4544916268', '2', '2']","['28', '1', '7317274476', '1', '1']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['22', '2', '4544916268', '2', '2']","['28', '1', '7317274476', '1', '1']","[0, 0, 0, 0, 0]"
code_9.py,0.4,"['22', '2', '4544916268', '2', '2']","['22', '100', '4544916268', '101', '101']","[1, 0, 1, 0, 0]"
