File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['7', '50', '2', '7', '0']","[0, 0, 0, 0, 1]"
code_0.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 1]"
code_1.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_5.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['1', '98', '2', '0', '0']","[0, 0, 0, 0, 1]"
code_2.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['7', '175', '10', '7', '0']","[0, 0, 0, 0, 1]"
code_6.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['10', '199', '10', '10', '3']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['3', '50', '2', '3', '1']","[0, 0, 0, 0, 0]"
code_3.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['0', '99', '1', '0', '0']","[0, 0, 0, 0, 1]"
code_8.py,0.2,"['3.5', '50.0', '2.0', '1.5', '0']","['0', '49', '1', '0', '0']","[0, 0, 0, 0, 1]"
code_9.py,0.0,"['3.5', '50.0', '2.0', '1.5', '0']","['2', '50', '3', '4', '1000000000']","[0, 0, 0, 0, 0]"
