File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', '2:0 (26:24)', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['', '', '', '', 'Impossible']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\n0:3 (23,25) (23,25) (23,25) (11,25)']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['', '', '', '', 'Impossible']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['3:3 75 94', '3:3 75 20', '3:3 76 24', '3:3 75 70', '3:3 75 0\nImpossible\n3:2 20 0\n3:3 0 75\n3:3 78 50\n3:3 80 100']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['0:3 25:27 25:27 25:40', 'Impossible', 'Impossible', 'Impossible', 'Impossible\nImpossible\nImpossible\nImpossible\nImpossible\n0:3 25:27 25:27 30:46']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['Impossible', 'Impossible', 'Impossible', 'Impossible', 'Impossible\n3:1 25:155 25:-25 25:-25 15:-15\nImpossible\nImpossible\nImpossible\nImpossible']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['3:1\n0:25 25:23 25:23 25:23', '3:0\n25:20 25:0 25:0', '3:0\n26:24 25:0 25:0', '3:1\n25:23 25:22 0:25 25:0', '3:0\n25:0 25:0 25:0 \n3:1\n40:38 25:23 0:25 25:4 \nImpossible\n0:3\n0:25 0:25 0:25 \n3:0\n28:26 25:23 25:1 \n3:2\n40:38 25:12 0:25 0:25 15:0']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0]"
