File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['3.000000', '6.014930', '6.701873', '5.640239', '3.000000']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['6.000000', '12.029860', '13.403745', '11.280477', '6.000000']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['5.700000', '11.877584', '13.266972', '11.116992', '5.250000']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['3.000000', '6.014930', '6.701873', '5.640239', '3.000000']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['5.700000', '11.879487', '13.266972', '11.119328', '5.250000']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['3.000000', '6.014930', '6.701873', '5.640239', '3.000000']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['3.000000', '6.001947', '6.679150', '5.633419', '2.500000']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['3.000000', '6.014930', '6.701873', '5.640239', '3.000000']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['3.000000', '6.014930', '6.701873', '5.640239', '3.000000']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['6.000000', '12.029860', '13.403745', '11.280477', '6.000000']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['2.8500000000', '5.9387918603', '6.6334860475', '5.5584961143', '2.6250000000']","['2.257895', '4.859623', '5.669893', '5.009378', '2.640625']","[0, 0, 0, 0, 0]"
