File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.4,"['878114651', '303640045', '871940006', '163454404', '0']","['878114651', '303640045', '435970003', '', '']","[1, 1, 0, 0, 0]"
code_0.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['469089751', '824593276', '435970003', '', '']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['429046517', '680085151', '154832828', '', '']","[0, 0, 0, 0, 0]"
code_2.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['0', '0', '0', '0', '0']","[0, 0, 0, 0, 1]"
code_6.py,0.4,"['878114651', '303640045', '871940006', '163454404', '0']","['389003283', '666667991', '871940006', '641800951', '0']","[0, 0, 1, 0, 1]"
code_10.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['429046517', '71703064', '154832828', '478346547', '0']","[0, 0, 0, 0, 1]"
code_7.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_3.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['945014678', '111191626', '672635974', '289952741', '0']","[0, 0, 0, 0, 1]"
code_8.py,0.0,"['878114651', '303640045', '871940006', '163454404', '0']","['945014679', '111191627', '672635975', '579905484', '8']","[0, 0, 0, 0, 0]"
code_9.py,0.2,"['878114651', '303640045', '871940006', '163454404', '0']","['958201119', '420159534', '717107178', '546681768', '0']","[0, 0, 0, 0, 1]"
