File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/1\n52/5\n42512951/653184', '1/1\n11/3\n42512951/653184', '1/1\n52/5\n92325513803/598752000', '11/3\n52/5\n92325513803/598752000', '11/3\n52/5\n3028278968974098015685057/1089043767344332800000']","[0, 0, 0, 0, 0]"
code_0.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/2\n517/720\n2606501/3628800', '1/2\n17/24\n2606501/3628800', '1/2\n517/720\n68811629/95800320', '17/24\n517/720\n68811629/95800320', '17/24\n517/720\n21843866286185/30411275102208']","[0, 0, 0, 0, 0]"
code_1.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['3/2\n49/20\n7381/2520', '3/2\n25/12\n7381/2520', '3/2\n49/20\n86021/27720', '25/12\n49/20\n86021/27720', '25/12\n49/20\n275295799/77597520']","[0, 0, 0, 0, 0]"
code_5.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_2.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_11.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_6.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_10.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
code_7.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/1\n10/3\n27/5', '1/1\n9/4\n27/5', '1/1\n10/3\n77/12', '9/4\n10/3\n77/12', '9/4\n10/3\n189/19']","[0, 0, 0, 0, 0]"
code_3.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1', '1/1\n1/1\n1/1']","[0, 0, 0, 0, 0]"
code_8.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['2/1\n720/719\n3628800/3628799', '2/1\n24/23\n3628800/3628799', '2/1\n720/719\n479001600/479001599', '24/23\n720/719\n479001600/479001599', '24/23\n720/719\n121645100408832000/121645100408831999']","[0, 0, 0, 0, 0]"
code_9.py,0.0,"['2\n1826/189\n877318/35343', '2\n5\n877318/35343', '2\n1826/189\n19455868963/549972423', '5\n1826/189\n19455868963/549972423', '5\n1826/189\n260073418750644288862/2955241273022663625']","['', '', '', '', '']","[0, 0, 0, 0, 0]"
