File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['5', '10', '', '100', '', '2', '100', '10', '100', '5', '', '1', '100', '100', '']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['6', '32', '246', '273', '20', '1', '215', '36', '309', '3', '261', '99999', '226', '213', '7']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['', '', '', '', '', '', '', '', '', '', '', '0', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['2', '3', '34', '30', '3', '0', '35', '3', '35', '2', '30', '0', '37', '36', '4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['4', '26', '196', '218', '16', '0', '170', '30', '258', '2', '210', '99998', '186', '168', '4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['8', '15', '164', '164', '17', '3', '169', '16', '164', '9', '168', '1', '173', '170', '18']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.06666666666666667,"['11', '39', '296', '328', '40', '2', '313', '46', '380', '16', '312', '100000', '324', '265', '14']","['5', '10', '100', '100', '10', '2', '100', '10', '100', '5', '100', '1', '100', '100', '10']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
