File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '13', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['999998301', '999998242', '999999791', '999998779', '999999374', '999998105', '999998121', '999998536', '999999965', '999999952', '999999333', '999998398', '999999572', '999998855', '999998464']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['1119', '1040', '5', '1315', '1827', '1614', '1741', '1109', '1640', '67', '816', '848', '1309', '1823', '1813']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['2', '3', '2', '1', '2', '8', '3', '3', '4', '6', '3', '3', '2', '1', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['1', '1', '', '0', '0', '1', '1', '1', '0', '1', '0', '', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '6', '', '94899361013292', '', '', '182058443911657', '441005254636', '596627072996', '109761957831908', '152046546905257', '46291225837120', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['5', '4', '1', '2', '5', '3', '9', '14', '2', '8', '14', '15', '8', '2', '9']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['1', '13', '1', '3', '8', '44', '13', '13', '132', '48', '13', '44', '75', '1', '75']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_72.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '3', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '3', '3', '3', 'INTERNAL ERROR OR TIMEOUT', '3', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_81.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['10', '4', '0', '0', '123', '38', '66', '37', '0', '0', '28', '40', '81', '44', '151']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['1', '1', '72', '0', '1', '3', '1', '1', '0', '20', '0', '8', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['237674323', '435768250', '4131', '100240813', '438513382', '620810276', '730033374', '748682383', '173064407', '20742237', '474968598', '50897314', '874366220', '791493066', '933285446']","['', '', '1', '', '', '', '', '', '', '3376210', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
