File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_113.py,0.06666666666666667,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['0', '0', '174', '0', '100', '0', '0', '1', '0', '0', '0', '0', '0', '0', '2']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_142.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_127.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '18']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_137.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['15', '90', '87', '5', '', '99', '4', '4', '9900', '9900', '99', '99', '', '', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_166.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_152.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_103.py,0.2,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['45', '100', '0', '15', '520', '1045', '9', '12', '10000', '104500', '199', '1045', '10000', '9955', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['12', '0', '20', '72', '0', '1000', '5', '10', '0', '1000', '10000', '11781', '0', '0', '38']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['4', '10', '2', '', '0', '100', '5', '5', '100', '100', '', '', '0', '0', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['26', '100', '174', '36', '550', '24600', '9', '13', '10000', '34500', '5050', '29305', '5050', '29305', '11']","['3', '9', '', '', '', '99', '4', '4', '99', '', '99', '', '99', '99', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
