File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_19.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_113.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_103.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer']"
code_58.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Wrong Answer', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Wrong Answer', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_78.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_29.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
code_107.py,0.06666666666666667,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Accepted', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer']"
code_39.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', 'Û~»×Mu×\x8dy×Í}Ûm·Û\xad»ßMõß\x8dùßÍýãn7ã®;çNuç\x8ey', 'ß\x9e»×]w×\x8dy×ÝµÛm·Û½½ßMõß\x9dûßÍýã~9ã®;ç^wç\x8ey', '', '', 'ë½x×\x9d¶Û}ôß]üßÞ:ã¾xç\x9e¶ë~ôï^üïß:ó¿x÷\x9dtÛ]7×]5×]uó]}×nµÛ½wã]ù×\x8dµã}yÓ^u×\x9f5çÝzë^»×¾5ï\x9d|Û_7×Ý5÷]}ó_}ÛN¶Ó½µãmyÛm¶Û}·ÓmõÛ\x7f6ßÝ¸ën;Û\x9e6ç\x9dºÛn·Û½6ï]»ónýÛÎ¶ó½½ãoyßM·Ó}õÓ}uß_7×Ýöë}»ß~7ß\x9døÛ~7ß\x9d7ç]ùó~}ß®·ë½ûã~ùßÍ·ó}ýÓ\x7fußß7÷Þ4ë\x8d;ã^8×\x9e6Û\x8d·ã}8ß^7ó\x8dýã\x8e¸ã¾9ã\x8eyã\xad¸ë~;Ó\x8eõã¿8ïÞ<ë\x8f;ãÞ8÷\x9etÛ\x9d7ç]9×^uó\x9d}çn¹Û¾wã\x9dùç\x8d¹ã~yÓ\x9euç\x9f9çÞzë\x9e»ç¾9ï\x9e|Û\x9f7çÝ9÷^}ó\x9f}ëNºÓ¾µã\xadyëmºÛ~·Ó\xadõë\x7f:ßÞ¸ë®;ë\x9e:ç\x9eºÛ®·ë½:ï^»ó®ýëÎºó¾½ã¯yïM»Ó~õÓ½uï_;×Þöë½»ï~;ß\x9eøÛ¾7ï\x9d;ç^ùó¾}ï®»ë¾ûã¾ùïÍ»ó~ýÓ¿uïß;÷ß4ëÍ;ó^<×\x9f6ÛÍ·ó}<ß_7óÍýó\x8e¼ã¿9ãÎyó\xad¼ë\x7f;ÓÎõó¿<ïß<ëÏ;óÞ<÷\x9ftÛÝ7÷]=×_uóÝ}÷n½Û¿wãÝù÷\x8d½ã\x7fyÓÞu÷\x9f=çßzëÞ»÷¾=ï\x9f|Ûß7÷Ý=÷_}óß}×M:×M;×Mx×My×M¶×M·×Mô×Mõ×Mü×Mý×N:×N;×Nx×Ny×N¶×N·×Nô×Nõ×Nü×Ný×O:×O;×Ox×Oy×]6×]7×]t×]u×]|×]}×]º×]»×]ø×]ù×^6×^7×^t×^u×^|×^}×^º×^»×^ø×^ù×_6×_7×_t×_u×_|×_}×m:×m;×mx×my×m¶×m·×mô×mõ×mü×mý×n:×n;×nx×ny×n¶×n·×nô×nõ×nü×ný×o:×o;×ox×oy×}6×}7×}t×}u×}|×}}×}º×}»×}ø×}ù×~6×~7×~t×~u×~|×~}×~º×~»×~ø×~ù×\x7f6×\x7f7×\x7ft×\x7fu×\x7f|×\x7f}×\x8d:×\x8d;×\x8dx×\x8dy×\x8d¶×\x8d·×\x8dô×\x8dõ×\x8dü×\x8dý×\x8e:×\x8e;×\x8ex×\x8ey×\x8e¶×\x8e·×\x8eô×\x8eõ×\x8eü×\x8eý×\x8f:×\x8f;×\x8fx×\x8fy×\x9d6×\x9d7×\x9dt×\x9du×\x9d|×\x9d}×\x9dº×\x9d»×\x9dø×\x9dù×\x9e6×\x9e7×\x9et×\x9eu×\x9e|×\x9e}×\x9eº×\x9e»×\x9eø×\x9eù×\x9f6×\x9f7×\x9ft×\x9fu×\x9f|×\x9f}×\xad:×\xad;×\xadx×\xady×\xad¶×\xad·×\xadô×\xadõ×\xadü×\xadý×®:×®;×®x×®y×®¶×®·×®ô×®õ×®ü×®ý×¯:×¯;×¯x×¯y×½6×½7×½t×½u×½|×½}×½º×½»×½ø×½ù×¾6×¾7×¾t×¾u×¾|×¾}×¾º×¾»×¾ø×¾ù×¿6×¿7×¿t×¿u×¿|×¿}×Í:×Í;×Íx×Íy', '', '', '']","['Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer', 'Wrong Answer']"
code_68.py,0.0,"['4 5 6 7 \n', '2 \n', '2 3 \n', '1 \n', '1 \n', '4 \n', '1 \n', '2 3 4 5 \n', '8 \n', '1 \n', '2 3 4 5 6 7 8 9 \n', '4 5 6 7 8 9 10 11 12 13 \n', '8 9 10 11 12 13 14 15 \n', '16 \n', '8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 \n']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)', 'Runtime Error (NZEC)']"
