File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_19.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_58.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_29.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_39.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_68.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_28.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_38.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['1 2 3', '1 2 3']","[0, 0]"
code_49.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_18.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_59.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_27.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_42.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_13.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_4.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_52.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_66.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_37.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_17.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_46.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_23.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_33.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
code_62.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['0 1 2 3 4 5 6', '0 1 2 3 4 5 6']","[0, 0]"
code_56.py,0.0,"['{0,1,2,3}', '{0,1,2,3,4,5,6}']","['', '']","[0, 0]"
