File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.375,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['0 0', '0 0', '0 0', '0 0', '0 0', '0 0', '0 0', '0 0']","[0, 1, 0, 0, 0, 0, 1, 1]"
code_19.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '-1 0', '', '', '', '', '', '-1 0']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.375,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['0 0', '0 0', '0 0', '0 0', '0 0', '0 0', '0 0', '0 0']","[0, 1, 0, 0, 0, 0, 1, 1]"
code_39.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['1 inf', '1 inf', '1 inf', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '1 inf', '1 inf']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.375,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['0 0', '0 0', '0 0', '0 0', '0 0', '0 0', '0 0', '0 0']","[0, 1, 0, 0, 0, 0, 1, 1]"
code_49.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['0 inf', '0 inf', '0 inf', '0 inf', '0 inf', '0 inf', '0 inf', '0 inf']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.125,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '0 1', '0 1', '0 3', '0 3', '0 3', '0 0', '0 1']","[0, 0, 0, 0, 0, 0, 1, 0]"
code_37.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_72.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_81.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '1 3']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '1 15', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_47.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_73.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_80.py,0.25,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '0 0', '', '', '', '', '', '0 0']","[0, 1, 0, 0, 0, 0, 0, 1]"
code_32.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_63.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_57.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['3 4', '7 7', '5 5', '', '', '', '', '2 2']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['inf inf', '', '', 'inf inf', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['1 3', '1 6', '1 1', '1 1', '1 3', '1 1', '1 1', '1 1']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_77.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_43.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.0,"['1 2', '0 0', '0 3', '3 3', '5 8', '2 2', '0 0', '0 0']","['', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0]"
