File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,['489429555'],['9'],[0]
code_19.py,0.0,['489429555'],[''],[0]
code_58.py,0.0,['489429555'],[''],[0]
code_29.py,0.0,['489429555'],[''],[0]
code_39.py,0.0,['489429555'],[''],[0]
code_28.py,0.0,['489429555'],[''],[0]
code_38.py,0.0,['489429555'],[''],[0]
code_49.py,0.0,['489429555'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_18.py,0.0,['489429555'],['53'],[0]
code_59.py,0.0,['489429555'],[''],[0]
code_27.py,0.0,['489429555'],[''],[0]
code_42.py,0.0,['489429555'],[''],[0]
code_13.py,0.0,['489429555'],[''],[0]
code_4.py,0.0,['489429555'],[''],[0]
code_52.py,0.0,['489429555'],[''],[0]
code_66.py,0.0,['489429555'],[''],[0]
code_37.py,0.0,['489429555'],[''],[0]
code_17.py,0.0,['489429555'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_46.py,0.0,['489429555'],['628328'],[0]
code_23.py,0.0,['489429555'],[''],[0]
code_33.py,0.0,['489429555'],[''],[0]
code_62.py,0.0,['489429555'],[''],[0]
code_56.py,0.0,['489429555'],[''],[0]
code_0.py,0.0,['489429555'],['0'],[0]
code_16.py,0.0,['489429555'],[''],[0]
code_47.py,0.0,['489429555'],['64'],[0]
code_22.py,0.0,['489429555'],[''],[0]
code_32.py,0.0,['489429555'],[''],[0]
code_63.py,0.0,['489429555'],[''],[0]
code_57.py,0.0,['489429555'],['2550226'],[0]
code_1.py,0.0,['489429555'],[''],[0]
code_26.py,0.0,['489429555'],['0'],[0]
code_43.py,0.0,['489429555'],[''],[0]
code_12.py,0.0,['489429555'],[''],[0]
code_5.py,0.0,['489429555'],[''],[0]
code_53.py,0.0,['489429555'],[''],[0]
code_67.py,0.0,['489429555'],['10'],[0]
code_36.py,0.0,['489429555'],[''],[0]
code_44.py,0.0,['489429555'],[''],[0]
code_15.py,0.0,['489429555'],[''],[0]
code_21.py,0.0,['489429555'],['2514280'],[0]
code_60.py,0.0,['489429555'],[''],[0]
code_31.py,0.0,['489429555'],[''],[0]
code_2.py,0.0,['489429555'],[''],[0]
code_54.py,0.0,['489429555'],[''],[0]
code_25.py,0.0,['489429555'],[''],[0]
code_11.py,0.0,['489429555'],[''],[0]
code_40.py,0.0,['489429555'],[''],[0]
code_50.py,0.0,['489429555'],[''],[0]
code_6.py,0.0,['489429555'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_35.py,0.0,['489429555'],[''],[0]
code_64.py,0.0,['489429555'],[''],[0]
code_24.py,0.0,['489429555'],[''],[0]
code_10.py,0.0,['489429555'],"[""import sys\n\nm = 10**9 + 7\ndp = [[0] * (m) for _ in range(32)]\n\nfor p in range(31, -1, -1):\n    dp[p][0] = int('1' * p, 2)\n    \nfor i in range(m):\n    dp[31][i] = i\n\nfor j in range(2, m):\n    dp[0][j] = j - (j >> 1)\n\nfor p in range(1, 32):\n    for i in range(j := 2**(p-1), m):\n        if p == 1:\n            dp[p][i] = min(dp[p-1][i-1], dp[p-1][i]) | int('1' * p, 2)\n        else:\n            dp[p][i] = min(dp[p-1][i-1], dp[p-1][i]) | (dp[31][i] >> (p-1))\n            \nfor _ in range(314159):\n    a, b = map(int, input().split())\n    print((dp[30][b] ^ (a << b)) % m)""]",[0]
code_41.py,0.0,['489429555'],[''],[0]
code_51.py,0.0,['489429555'],[''],[0]
code_7.py,0.0,['489429555'],[''],[0]
code_34.py,0.0,['489429555'],[''],[0]
code_65.py,0.0,['489429555'],[''],[0]
code_45.py,0.0,['489429555'],['14'],[0]
code_14.py,0.0,['489429555'],[''],[0]
code_20.py,0.0,['489429555'],[''],[0]
code_61.py,0.0,['489429555'],['235'],[0]
code_30.py,0.0,['489429555'],[''],[0]
code_3.py,0.0,['489429555'],[''],[0]
code_55.py,0.0,['489429555'],[''],[0]
code_8.py,0.0,['489429555'],[''],[0]
code_9.py,0.0,['489429555'],['319500715'],[0]
