File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '0', '0', '0', '', '', '', '', '', '0', '0', '', '0', '']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_28.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['4', '1', '0', '0', '0', '7', '10', '70', '10', '70', '0', '0', '7', '0', '70']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_38.py,0.26666666666666666,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '0', '0', '', '', '', '', '', '0', '0', '', '', '']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
code_18.py,0.4666666666666667,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['1', '1', '0', '0', '0', '1', '1', '1', '1', '1', '0', '0', '1', '0', '1']","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_27.py,0.4,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '0', '0', '0', '', '', '', '', '', '0', '0', '', '0', '']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
code_42.py,0.13333333333333333,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['0', '0', '0', '', '', '0', '0', '0', '0', '0', '', '', '0', '0', '0']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
code_13.py,0.26666666666666666,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '0', '0', '', '', '', '', '', '0', '0', '', '', '']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
code_4.py,0.0,"['1', '3', '0', '0', '0', '4', '2', '4', '2', '4', '0', '0', '4', '0', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
