File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['0', '0', '100', '0', '0', '0', '100', '0', '100', '100', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.06666666666666667,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['1', '2', '', '', '8', '', '', '1', 'INTERNAL ERROR OR TIMEOUT', '', '2', '3', '1', '', '']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['1024500', '1024500', '920', '87204488525001', '9842273182031143508827907234851478615097345', '', '15551', '94541', '239923001', '999999001', '2399944800001', '2399944800001', '761044449428001', '11', '991']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['111111', '111111', '111', '111111111111', '11111111111111111111111111111111111', '11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', '11111', '111111', '1111111', '1111111', '111111111', '111111111', '1111111111111', '111', '111']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', 'INTERNAL ERROR OR TIMEOUT', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['10.25', '10.3', '9.2', '872.1', '984227318.2031144445', '2704701300865535.4322233122334341141300111132201024201313230103441442011243032', '2', '1', '240', '1000', '23999.5', '24000', '761.04445', '0.1', '10']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
