File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.13333333333333333,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['0', '0', '0', '0', '0', '1', '8', '1', '0', '15', '1', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_29.py,0.26666666666666666,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
code_39.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '-9223372036854775807', '', '-9223372036854775807', '', '', '-9223372036854775807', '-9223372036854775807', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.2,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '0', '', '0', '', '', '0', '0', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
code_49.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['0', '118872', '70', '2505816', '295200', '2', '1', '1', '116160', '1854631458', '1', '2', '2505816', '2505816', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['7', '213', '10', '598', '499', '3', '13', '2', '193', '128', '3', '2', '598', '598', '3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.06666666666666667,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['14', '118872', '70', '2505816', '295200', '2', '5', '1', '116160', '1854631459', '1', '0', '2505816', '2505816', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_13.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['16', '118872', '70', '2505816', '295200', 'INTERNAL ERROR OR TIMEOUT', '', '', '116160', '', '', '2', '2505816', '2505816', '20']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['-3', '63', '2', '188', '-47', '1', '0', '0', '110', '105', '0', '0', '188', '188', '2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
