File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '2', '1', '4', '3', '1', '1', '3', '2', '2', '3', '3', '1', '1', '4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_19.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '6', '0', '31', '169', '27', '4', '25', '1', '33', '29', '29', '0', '4', '31']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '2', '1', '8', '26', '5', '2', '3', '1', '7', '5', '5', '1', '2', '8']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_28.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '4', '0', '14', '49', '11', '4', '10', '1', '15', '12', '12', '0', '4', '14']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,[],[],[]
code_27.py,0.13333333333333333,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['2', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_42.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '0', '', '', '', '', '', '', '', '', '', '0', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['4', '16', '2', '121', '1276', '79', '16', '67', '4', '137', '92', '92', '2', '16', '121']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['1', '', '0', '', '', '', '', '', '1', '', '', '', '0', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['3', '13', '1', '161', '20918', '140', '5', '92', '3', '176', '142', '142', '1', '5', '161']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
