File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.06666666666666667,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_39.py,0.0,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['1\n2', '1\n2', '1\n2', '1\n1', '1\n1', '1\n2', '1\n2', '1\n2', '1\n2', '1\n2', '1\n1', '1\n2', '1\n2', '1\n2', '1\n2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['2\n1', '1\n1', '2\n1', '1\n0', '1\n1', '2\n1', '1\n1', '2\n1', '2\n1', '2\n0', '1\n1', '1\n1', '2\n0', '1\n1', '2\n1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.13333333333333333,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['6\n3', '3\n3', '6\n3', '3\n0', '3\n0', '3\n3', '3\n3', '6\n3', '3\n0', '3\n0', '3\n0', '3\n3', '6\n0', '3\n3', '6\n0']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
code_27.py,0.06666666666666667,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['', '', '', '', '', '', '', '', '0\n0', '0\n0', '0\n0', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_42.py,0.0,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1', '1\n1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.06666666666666667,"['6\n0', '3\n0', '6\n0', '3\n1', '4\n0', '1\n0', '2\n0', '6\n3', '5\n0', '4\n1', '0\n0', '2\n3', '6\n1', '3\n0', '6\n0']","['0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0', '0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
