File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_19.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_58.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nYES\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_29.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_39.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_68.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_28.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_38.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_69.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_49.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_18.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","[""n, prev_val = 1, None\ndp = [False] * (10**5 + 1)\nmax_len = n - 1\n\nfor segment in b:\n    if segment > prev_val + 1:\n        dp[prev_val] = True\n        max_len = prev_val\n    elif segment == prev_val:\n        i = segment\n        while i <= max_len and not dp[i]:\n            i += 1\n        if i <= max_len:\n            dp[segment] = True\n\nfor i in range(n):\n    if dp[i-1] and abs(b[i]-b[i-1]) == 1:\n        print('YES')\n        break\nelse:\n    print('NO' if dp[n-1] else 'NO')"", ""n, prev_val = 1, None\ndp = [False] * (10**5 + 1)\nmax_len = n - 1\n\nfor segment in b:\n    if segment > prev_val + 1:\n        dp[prev_val] = True\n        max_len = prev_val\n    elif segment == prev_val:\n        i = segment\n        while i <= max_len and not dp[i]:\n            i += 1\n        if i <= max_len:\n            dp[segment] = True\n\nfor i in range(n):\n    if dp[i-1] and abs(b[i]-b[i-1]) == 1:\n        print('YES')\n        break\nelse:\n    print('NO' if dp[n-1] else 'NO')"", ""n, prev_val = 1, None\ndp = [False] * (10**5 + 1)\nmax_len = n - 1\n\nfor segment in b:\n    if segment > prev_val + 1:\n        dp[prev_val] = True\n        max_len = prev_val\n    elif segment == prev_val:\n        i = segment\n        while i <= max_len and not dp[i]:\n            i += 1\n        if i <= max_len:\n            dp[segment] = True\n\nfor i in range(n):\n    if dp[i-1] and abs(b[i]-b[i-1]) == 1:\n        print('YES')\n        break\nelse:\n    print('NO' if dp[n-1] else 'NO')"", ""n, prev_val = 1, None\ndp = [False] * (10**5 + 1)\nmax_len = n - 1\n\nfor segment in b:\n    if segment > prev_val + 1:\n        dp[prev_val] = True\n        max_len = prev_val\n    elif segment == prev_val:\n        i = segment\n        while i <= max_len and not dp[i]:\n            i += 1\n        if i <= max_len:\n            dp[segment] = True\n\nfor i in range(n):\n    if dp[i-1] and abs(b[i]-b[i-1]) == 1:\n        print('YES')\n        break\nelse:\n    print('NO' if dp[n-1] else 'NO')""]","[0, 0, 0, 0]"
code_59.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_27.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_42.py,0.25,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nYES\nNO\nYES\nNO\nYES\nYES', 'YES', 'NO', 'YES']","[0, 0, 1, 0]"
code_13.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['n_cases = int(input())\nfor _ in range(n_cases):\n    n = int(input())\n    b = list(map(int, input().split()))\n    dp = [0] * (n + 1)\n    prev_val = None\n    for i in range(1, n + 1):\n        for j in range(i):\n            if b[j] == prev_val:\n                len_ = i - j\n                break\n        dp[i] = max(dp[i-1], len_ + b[j])\n        prev_val = b[j]\n    print(""YES"" if dp[n] > 0 else ""NO"")', 'n_cases = int(input())\nfor _ in range(n_cases):\n    n = int(input())\n    b = list(map(int, input().split()))\n    dp = [0] * (n + 1)\n    prev_val = None\n    for i in range(1, n + 1):\n        for j in range(i):\n            if b[j] == prev_val:\n                len_ = i - j\n                break\n        dp[i] = max(dp[i-1], len_ + b[j])\n        prev_val = b[j]\n    print(""YES"" if dp[n] > 0 else ""NO"")', 'n_cases = int(input())\nfor _ in range(n_cases):\n    n = int(input())\n    b = list(map(int, input().split()))\n    dp = [0] * (n + 1)\n    prev_val = None\n    for i in range(1, n + 1):\n        for j in range(i):\n            if b[j] == prev_val:\n                len_ = i - j\n                break\n        dp[i] = max(dp[i-1], len_ + b[j])\n        prev_val = b[j]\n    print(""YES"" if dp[n] > 0 else ""NO"")', 'n_cases = int(input())\nfor _ in range(n_cases):\n    n = int(input())\n    b = list(map(int, input().split()))\n    dp = [0] * (n + 1)\n    prev_val = None\n    for i in range(1, n + 1):\n        for j in range(i):\n            if b[j] == prev_val:\n                len_ = i - j\n                break\n        dp[i] = max(dp[i-1], len_ + b[j])\n        prev_val = b[j]\n    print(""YES"" if dp[n] > 0 else ""NO"")']","[0, 0, 0, 0]"
code_4.py,0.0,[],[],[]
code_52.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_66.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_37.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_17.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_46.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_72.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_23.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', '']","[0, 1, 1, 0]"
code_33.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_62.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_56.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_0.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO', 'NO', '', 'NO']","[0, 1, 0, 1]"
code_16.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_47.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_73.py,0.0,[],[],[]
code_22.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nNO', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_32.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_63.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nNO', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_57.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_1.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_26.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO', 'NO', 'NO', '']","[0, 1, 1, 0]"
code_43.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['', '', '', '']","[0, 0, 0, 0]"
code_12.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
