File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['4', '4', '-8', '2', '-4', '-1', '-4', '-7', '-4', '12', '0', '-1', '4', '-5', '3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['12', '35', '16', '1', '0', '0', '0', '13', '21', '11', '1', '0', '26', '8', '27']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['41', '80', '61', '6', '37', '9', '45', '54', '47', '28', '17', '4', '66', '34', '58']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
