File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.4,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '1', '0', '0', '3', '0', '0', '0', '0', '6', '0', '0', '0']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
code_19.py,0.06666666666666667,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['6', '5', '5', '1', '100', '2', '2', '3', '3', '3', '3', '3', '4', '4', '4']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_39.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_38.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_18.py,0.2,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-6', '-6', '-6', '0', '-1748', '-1', '0', '-1', '-1', '-2', '-3', '0', '-3', '-4', '-2']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
code_27.py,0.6,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
code_42.py,0.0,"['6', '1', '0', '0', '761', '0', '0', '1', '0', '0', '0', '0', '0', '2', '1']","['-18', '-9', '-9', '-1', '-4463', '-2', '-3', '-5', '-5', '-4', '-3', '-6', '-7', '-8', '-8']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
