File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['-16', '-17', '-9', '-160', '-13', '-19', '-23', '-17', '-11', '-182', '-23', '-17', '-11', '-24', '-22']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['16', '17', '9', '160', '13', '19', '23', '17', '11', '182', '23', '17', '11', '24', '22']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['117', '108', '32', '23562', '90', '72', '110', '22', '56', '30800', '156', '140', '45', '72', '22']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.13333333333333333,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['9', '18', '4', '101', '4', '2', '7', '5', '0', '255', '4', '12', '7', '11', '8']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_38.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['28', '31', '15', '452', '23', '41', '49', '35', '17', '518', '49', '31', '17', '56', '50']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.2,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['11', '24', '8', 'INTERNAL ERROR OR TIMEOUT', '2', '3', '14', '12', '0', 'INTERNAL ERROR OR TIMEOUT', '5', '20', '8', '27', '9']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
code_49.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.06666666666666667,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['4', '4', '2', '6', '5', '5', '4', '5', '5', '6', '4', '4', '5', '5', '5']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_85.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_95.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '-2', '-2', '1', '-3', '0', '-3', '1', '-2', '0', '0', '-3', '-3', '-3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_72.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_81.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_91.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['-16', '-17', '-9', '-160', '-13', '-19', '-23', '-17', '-11', '-182', '-23', '-17', '-11', '-24', '-22']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.06666666666666667,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['24', '28', '8', '224', '12', '4', '20', '12', '8', '440', '8', '24', '8', '16', '20']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_47.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_73.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_80.py,0.06666666666666667,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['6', '6', '0', '0', '0', '0', '6', '0', '0', '12', '6', '6', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_90.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['16', '17', '9', '160', '13', '19', '23', '17', '11', '182', '23', '17', '11', '24', '22']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_32.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_63.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_57.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_77.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_84.py,0.0,"['11', '18', '6', '104', '8', '6', '12', '9', '5', '257', '6', '12', '8', '13', '9']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
