File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.2,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '0', '', '0', '0', '', '', '0', '0', '', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
code_19.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '0', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.26666666666666666,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
code_78.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.13333333333333333,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '0', '', '', '0', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
code_39.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '0', '', '', '1', '1', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.2,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '1', '', '', '0', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
code_28.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '1', '', '', '1', '1', '', '', '2', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '-1', '', '', '-1', '-1', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.13333333333333333,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '0', '', '', '0', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
code_49.py,0.26666666666666666,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
code_18.py,0.26666666666666666,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
code_59.py,0.26666666666666666,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
code_27.py,0.06666666666666667,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['21', '5', '2', '35', '29', '2', '2', '20', '35', '1', '35', '21', '1', '1', '32']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_85.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['118809', '-10', '8', '2505711', '2502921', '4', '8', '116100', '2505711', '-1', '2505711', '118809', '-1', '-2', '295104']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.26666666666666666,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
code_52.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.06666666666666667,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['0', '', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '0']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.2,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['INTERNAL ERROR OR TIMEOUT', '0', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '1', '1', 'INTERNAL ERROR OR TIMEOUT']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['-2', '-2', '1', '-2', '-2', '1', '2', '-2', '-2', '4', '-2', '-2', '-2', '-2', '-2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_72.py,0.26666666666666666,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['-388', '0', '-1', '-16356', '-57', '0', '0', '-832', '-10', '0', '-26', '-11', '0', '0', '-36']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
code_23.py,0.13333333333333333,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['1', '1', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
code_81.py,0.13333333333333333,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['21', '5', '0', '35', '29', '0', '0', '20', '35', '1', '35', '21', '1', '1', '32']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
code_91.py,0.13333333333333333,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '0', '', '', '0', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
code_33.py,0.0,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.2,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['', '0', '', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '', '', '', 'INTERNAL ERROR OR TIMEOUT', '0', 'INTERNAL ERROR OR TIMEOUT', '', '0', '0', '']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
code_56.py,0.13333333333333333,"['63', '0', '-3', '188', '185', '-3', '0', '110', '188', '1', '188', '63', '0', '0', '-47']","['77', '5', '2', '160', '100', '2', '2', '77', '160', '0', '160', '77', '0', '0', '160']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
