File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['0', '0', '0', '1', '-3', '-4', '0', '0', '-3', '0', '0', '0', '-8', '-6', '-9']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.13333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '0', '0', '0', '0', '0', '', '0', '0']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.26666666666666666,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['1', '0', '1', '0', '4', '6', '1', '0', '6', '0', '0', '0', '0', '6', '10']","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '0', '0', '0', '0', '0', '', '0', '0']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.13333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['2', '0', '4', '0', '7', '11', '4', '0', '8', '0', '0', '3', '11', '9', '15']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_85.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '-1', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf', 'inf']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_72.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '0', '0', '0', '0', '0', '', '0', '0']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_81.py,0.06666666666666667,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '1', '', '', '', '2', '2', '2', '2', '2', '', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_33.py,0.13333333333333333,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '0', '', '', '', '1', '', '0', '1', '', '', '1', '1']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_62.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', 'inf', '', '', '', 'inf', 'inf', 'inf', 'inf', 'inf', '', 'inf', 'inf']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['1', '0', '2', '0', '1', '6', '5', '4', '2', '1', '1', '1', '9', '5', '4']","['', '', '', '1', '', '', '', '5', '12', '3', '3', '4', '', '12', '16']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
