File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_59.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '1', '-1', '-1', '-1', '-1', '3', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
