File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_19.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n15\n36\n11\n18\n0\n50\n4\n29999999997\n3011128857'],[0]
code_58.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_29.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_39.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_28.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_38.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_49.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_18.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_59.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_27.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_42.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_13.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['-11\n-5\n-8\n-6\n8\n-3\n59\n-1\n39999400000\n3339932629'],[0]
code_4.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['inf\ninf\ninf\ninf\ninf\ninf\n0\ninf\ninf\ninf'],[0]
code_52.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_37.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_17.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_46.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_23.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_33.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_62.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_56.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_0.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_16.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_47.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\ninf\ninf\ninf\ninf\n0\ninf\ninf\ninf\ninf'],[0]
code_22.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_32.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_63.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['inf'],[0]
code_57.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_1.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_26.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_43.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\ninf\n1\n0\n0\n0\n4\n0\ninf\ninf'],[0]
code_12.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_5.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_53.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_36.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_44.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_15.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf\ninf\ninf'],[0]
code_21.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_60.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_31.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_2.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_54.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_25.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_11.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['inf\ninf\ninf\ninf\ninf\ninf\ninf'],[0]
code_40.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_50.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_6.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_35.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_64.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_24.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_10.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0'],[0]
code_41.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n3\n2\n1\n1\n0\n4\n0\n200000\n7976'],[0]
code_51.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['INTERNAL ERROR OR TIMEOUT'],[0]
code_7.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_34.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['12\n12\n-2\n16\n10\n1\n-19\n-2\n20000200000\n1273694928'],[0]
code_45.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_14.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['4\ninf\ninf\ninf\ninf\ninf\n4\ninf\ninf\ninf'],[0]
code_20.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\ninf\ninf\n0\n0\n0\ninf\n0\ninf\ninf'],[0]
code_61.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['0\n0\n0\n0\n0\n0\n0\n0\n0\n0'],[0]
code_30.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_3.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
code_55.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['inf'],[0]
code_8.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],['9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807\n9223372036854775807'],[0]
code_9.py,0.0,['0\n18\n32\n11\n14\n0\n16\n0\n40000000000\n2700826806'],[''],[0]
