File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.1,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['1', '1', '0', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['10101100000010', '100001110111111111010', '', '10011101111110', '10011101011111', '10101011100011', '10101011111000', '10011100010000', '10011101111110', '10011101011111']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.1,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['11010', '1110010', '0', '10110', '10111', '11011', '11000', '10000', '10110', '10111']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['1101', '111001', '', '1011', '111', '11', '1100', '1000', '1011', '111']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['10', '10', '', '10', '10', '10', '1', '1', '10', '10']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.6,"['11111', '1111110', '0', '11111', '11111', '11111', '11110', '11000', '11111', '11111']","['11111', '1111111', '1111', '11111', '11111', '11111', '11111', '11111', '11111', '11111']","[1, 0, 0, 1, 1, 1, 0, 0, 1, 1]"
