File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,[],[],[]
code_39.py,0.0,[],[],[]
code_28.py,0.0,[],[],[]
code_38.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.06666666666666667,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['1', '2', '12', '5', '15', '18', '19', '24', '12', '16', '17', '13', '16', '16', '15']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.06666666666666667,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
code_27.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,[],[],[]
code_13.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['0', '0', '0', '0', '0', '0', '0', '-1', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.06666666666666667,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['0', '0', '1', '2', '3', '6', '3', '7', '1', '6', '4', '2', '0', '2', '0']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,[],[],[]
code_23.py,0.06666666666666667,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['-1', '', '', '', '', '', '', '-1', '', '', '', '', '', '', '']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.13333333333333333,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
code_0.py,0.0,[],[],[]
code_16.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_47.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,[],[],[]
code_32.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['1', '1', '3', '5', '7', '13', '7', '15', '3', '13', '9', '5', '1', '5', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.13333333333333333,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
code_26.py,0.26666666666666666,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['0', '1', '12', '3', '11', '8', '15', '12', '12', '6', '11', '11', '15', '14', '14']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
code_43.py,0.06666666666666667,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
code_12.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['1', '1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '1', '-1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_36.py,0.0,[],[],[]
code_44.py,0.0,[],[],[]
code_15.py,0.13333333333333333,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
code_21.py,0.0,"['-1', '4', '12', '2', '10', '7', '15', '11', '13', '5', '10', '11', '17', '14', '-1']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
