File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', 'INTERNAL ERROR OR TIMEOUT', '638 0', '12608 0', 'INTERNAL ERROR OR TIMEOUT', '', '1639 0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '1639 0', '142 0', '142 0', '1639 0', '142 0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0 12608', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0 142', '-1', 'INTERNAL ERROR OR TIMEOUT', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', 'INTERNAL ERROR OR TIMEOUT', '-1 -127', '-1 -1', 'INTERNAL ERROR OR TIMEOUT', '', '-1 -1177', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '-1 -411', '-1 -1', '-1 -109', '-1 -72', '-1 -111']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', 'INTERNAL ERROR OR TIMEOUT', '', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '', '', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '', '-1', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.13333333333333333,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', 'INTERNAL ERROR OR TIMEOUT', '-1', '0', 'INTERNAL ERROR OR TIMEOUT', '', '-1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '-1', '0', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
code_17.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['914600435166396672 9077564010068368269', '553846926 662149855', '256 382', '6304 6304', '0 104066', '391432615494276 976048355229671', '-1', '65632602417 274038505397', '805502976 1065304723', '17445 1007551', '-1', '71 71', '17 125', '784 855', '16 126']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
