File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,['2\n12\n36'],['0\n2\n4'],[0]
code_29.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_28.py,0.0,['2\n12\n36'],['36'],[0]
code_38.py,0.0,['2\n12\n36'],['1\n4\n9'],[0]
code_18.py,0.0,['2\n12\n36'],['2\n18\n43'],[0]
code_27.py,0.0,['2\n12\n36'],['1\n5\n12'],[0]
code_13.py,0.0,['2\n12\n36'],[''],[0]
code_4.py,0.0,['2\n12\n36'],['2\n17\n66'],[0]
code_37.py,0.0,['2\n12\n36'],['0'],[0]
code_17.py,0.0,['2\n12\n36'],['1\n8\n27'],[0]
code_23.py,0.0,['2\n12\n36'],['1\n4\n9'],[0]
code_33.py,0.0,['2\n12\n36'],['2\n18\n43'],[0]
code_0.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_16.py,0.0,['2\n12\n36'],['0\n1\n3'],[0]
code_22.py,0.0,['2\n12\n36'],['1\n8\n27'],[0]
code_32.py,0.0,['2\n12\n36'],['0\n0\n0'],[0]
code_1.py,0.0,['2\n12\n36'],['2\n6\n12'],[0]
code_26.py,0.0,['2\n12\n36'],['0\n3\n8'],[0]
code_12.py,0.0,['2\n12\n36'],['2\n6\n12'],[0]
code_5.py,0.0,['2\n12\n36'],['2\n8\n42'],[0]
code_36.py,0.0,['2\n12\n36'],['0'],[0]
code_15.py,0.0,['2\n12\n36'],['1\n8\n27'],[0]
code_21.py,0.0,['2\n12\n36'],['1\n2\n5'],[0]
code_31.py,0.0,['2\n12\n36'],['1\n10\n61'],[0]
code_2.py,0.0,['2\n12\n36'],['2\n7\n15'],[0]
code_25.py,0.0,['2\n12\n36'],['1\n4\n9'],[0]
code_11.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_6.py,0.0,['2\n12\n36'],['1\n3\n6'],[0]
code_35.py,0.0,['2\n12\n36'],['1\n1\n16'],[0]
code_24.py,0.0,['2\n12\n36'],['9'],[0]
code_10.py,0.0,['2\n12\n36'],['-2\n-20\n-106'],[0]
code_7.py,0.0,['2\n12\n36'],['2\n9\n15'],[0]
code_34.py,0.0,['2\n12\n36'],[''],[0]
code_14.py,0.0,['2\n12\n36'],[''],[0]
code_20.py,1.0,['2\n12\n36'],['2\n12\n36'],[1]
code_30.py,0.0,['2\n12\n36'],['10'],[0]
code_3.py,0.0,['2\n12\n36'],['1\n10\n35'],[0]
code_8.py,0.0,['2\n12\n36'],[''],[0]
code_9.py,0.0,['2\n12\n36'],['1\n8\n30'],[0]
