File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['2\n2\n150\n9', '2\n2', '2\n2', '2\n2', '2\n2\n150\n79', '2\n18', '2\n2\n150\n77', '2\n2', '2\n2\n150\n9', '2\n2\n200\n77', '2\n2', '2\n2\n150\n9', '2\n16', '1\n15', '2\n2\n150\n9']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['0\n0\n0\n0', '0\n0', '0\n0', '0\n0', '0\n0\n0\n0', '0\n0', '0\n0\n0\n0', '0\n0', '0\n0\n0\n0', '0\n0\n0\n0', '0\n0', '0\n0\n0\n0', '0\n0', '0\n0', '0\n0\n0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['19\n15\n150\n58', '15\n15', '15\n15', '13\n15', '19\n15\n150\n37', '13\n7', '19\n15\n150\n34', '15\n18', '19\n18\n150\n58', '19\n15\n180\n34', '15\n21', '19\n18\n150\n61', '14\n7', '12\n6', '19\n14\n150\n61']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '14\n14', '14\n14', '12\n14', '', '12\n2', '', '14\n17', '', '', '14\n20', '', '12', '11', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['17\n17\n180\n84', '17\n17', '17\n17', '15\n17', '17\n17\n180\n70', '15\n15', '17\n17\n180\n71', '17\n20', '17\n26\n180\n84', '17\n17\n230\n71', '17\n29', '17\n26\n180\n102', '15\n12', '14\n13', '17\n26\n180\n102']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['10\n10\n130\n43', '10\n10', '10\n10', '10\n10', '10\n10\n130\n14', '10\n1', '10\n10\n130\n14', '10\n13', '10\n13\n130\n43', '10\n10\n160\n14', '10\n16', '10\n13\n130\n46', '10\n1', '9\n0', '10\n13\n130\n46']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['0\n0\n150\n0', '0\n0', '0\n0', '0\n0', '0\n0\n150\n37', '0\n9', '0\n0\n150\n36', '0\n0', '0\n0\n150\n0', '0\n0\n180\n36', '0\n0', '0\n0\n150\n0', '0\n0', '0\n0', '0\n0\n150\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27', '27']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_62.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_56.py,0.0,"['15\n19\n150\n56', '19\n19', '19\n19', '15\n19', '15\n19\n150\n24', '15\n6', '15\n19\n150\n30', '19\n20', '15\n25\n150\n56', '15\n19\n180\n30', '19\n26', '15\n25\n150\n62', '16\n6', '15\n5', '15\n19\n150\n62']","['14\n14\n140\n58', '14\n14', '14\n14', '12\n14', '14\n14\n140\n34', '12\n5', '14\n14\n140\n32', '14\n17', '14\n17\n140\n58', '14\n14\n170\n32', '14\n20', '14\n17\n140\n61', '12\n5', '11\n5', '14\n13\n140\n61']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
