File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['1.000000\n1.250000\n1.555556', '1.000000\n1.250000\n2.040000', '1.000000\n1.250000\n2.250000', '1.000000\n1.000000\n2.250000', '1.000000\n1.250000\n3.190083', '1.000000\n1.000000\n3.190083', '1.000000', '1.000000', '1.000000', '', '', '1.000000\n1.250000\n1.812500', '1.000000\n1.250000', '1.000000\n1.250000\n2.448980', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.09999999999999998\n1.0000000000000003e-05\n1.0000000000000003e-11', '0.09999999999999998\n1.0000000000000003e-05\n1.0000000000000001e-29', '0.09999999999999998\n1.0000000000000003e-05\n1.0000000000000003e-41', '0.09999999999999998\n0.09999999999999998\n1.0000000000000003e-41', '0.09999999999999998\n1.0000000000000003e-05\n1.0000000000000007e-131', '0.09999999999999998\n0.09999999999999998\n1.0000000000000007e-131', '0.09999999999999998\n10.0\n1.0000000000000007e-131', '0.09999999999999998\n10.0\n1.0000000000000004e-89', '0.09999999999999998\n10.0\n9.999999999999988e-272', '10.0\n10.0\n9.999999999999988e-272', '10.0\n10.0\n0.0', '0.09999999999999998\n1.0000000000000003e-05\n1.0000000000000006e-19', '0.09999999999999998\n1.0000000000000003e-05\n10.0', '0.09999999999999998\n1.0000000000000003e-05\n1e-55', '10.0\n0.09999999999999998\n1.0000000000000003e-41']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.0\n0.9\n1.71', '0.0\n0.9\n5.7924', '0.0\n0.9\n10.51632', '0.0\n0.0\n10.51632', '0.0\n0.9\n200.72628149760004', '0.0\n0.0\n200.72628149760004', '0.0\n0.0\n200.72628149760004', '0.0\n0.0\n61.87477824000001', '0.0\n0.0\n3794.872846768572', '0.0\n0.0\n3794.872846768572', '0.0\n0.0\n46086123.99050217', '0.0\n0.9\n3.168', '0.0\n0.9\n0.0', '0.0\n0.9\n19.019376', '0.0\n0.0\n10.51632']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.0\n-2.75\n-4.666666666666667', '0.0\n-2.75\n-4.92', '0.0\n-2.75\n-2.8333333333333335', '0.0\n0.0\n-2.8333333333333335', '0.0\n-2.75\n-0.05785123966942149', '0.0\n0.0\n-0.05785123966942149', '0.0', '0.0', '0.0', '', '', '0.0\n-2.75\n-5.8125', '0.0\n-2.75', '0.0\n-2.75\n-1.2448979591836735', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', 'INTERNAL ERROR OR TIMEOUT', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0', '1.0\n1.0\n1.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['20\n20\n20', '20\n20\n20', '20\n20\n20', '20\n20\n20', '20\n20\n20', '20\n20\n20', '20\n0\n20', '20\n0\n20', '20\n0\n20', '0\n0\n20', '0\n0\n20', '20\n20\n20', '20\n20\n0', '20\n20\n20', '0\n20\n20']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['0.45\n0.945\n1.4445', '0.45\n0.945\n2.444445', '0.45\n0.945\n2.9444445', '0.45\n0.45\n2.9444445', '0.45\n0.945\n5.44444444445', '0.45\n0.45\n5.44444444445', '0.45\n0.0\n5.44444444445', '0.45\n0.0\n4.4444444445', '0.45\n0.0\n7.94444444444', '0.0\n0.0\n7.94444444444', '0.0\n0.0\n15.9444444444', '0.45\n0.945\n1.94445', '0.45\n0.945\n0.0', '0.45\n0.945\n3.44444445', '0.0\n0.45\n2.9444445']","['0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0\n0.0\n0.0', '0.0', '0.0', '0.0', '', '', '0.0\n0.0\n0.0', '0.0\n0.0', '0.0\n0.0\n0.0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
