File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.26666666666666666,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['1', '1', '5', '3', '', '', '', '999999999', '228', '1', '1000000000', '', '1000000000', '1000000000', '1000000000']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
code_39.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['6', '', '20', '', '', '', '', '5999999994', '3888', '', '4000000000', '10000000000', '6000000000', '4000000000', '6000000000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807', '9223372036854775807']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', 'INTERNAL ERROR OR TIMEOUT', '', '', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_13.py,0.13333333333333333,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.06666666666666667,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['', '[0, inf]', '', '-1', '', '', '', '', '', '-1', '', '', '', '-1', '']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.06666666666666667,"['1', '1', '-1', '-1', '8', '2', '6', '1999999998', '0', '0', '1000000000', '4000000000', '3000000000', '1000000000', '2000000000']","['0', '', '', '', '-1', '7', '6', '999999998', '', '', '999999999', '999999999', '999999999', '', '999999999']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
