File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['0', '', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['1\n4', '1\n6', '1\n5', '1\n10', '1\n10', '1\n4', '1\n4', '1\n10', '1\n2', '1\n12', '1\n12', '1\n12', '1\n11', '1\n11', '1\n11']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['3', '5', '3', '10', '9', '4', '3', '9', '2', '8', '6', '5', 'INTERNAL ERROR OR TIMEOUT', '8', '7']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['3\n1 2 4', '4\n1 2 4 6', '3\n1 3 5', '10\n1 2 7 5 8 9 3 6 4 10', '3\n1 6 10', '4\n1 2 3 4', '3\n1 3 4', '9\n1 2 3 4 5 6 7 8 10', '2\n1 2', '6\n1 9 10 11 8 12', '6\n1 9 10 11 8 12', '4\n1 7 6 12', '8\n1 4 5 6 3 7 8 11', '8\n1 4 5 6 3 7 8 11', '6\n1 2 3 7 8 11']","['2', '3', '2', '9', '8', '3', '2', '8', '1', '5', '5', '4', '7', '7', '6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
