File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['1', '0', '0', '0', '4', '9604', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.13333333333333333,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['127', '6', '41', '9', '349', '145812', '8', '2', '26', '11', '14', '14', '9', '2', '8']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
code_68.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.06666666666666667,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['6', '2', '3', '3', '8', '156', '3', '0', '8', '3', '4', '4', '3', '0', '3']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['1', '3', '2', '4', '2', '0', '3', '1', '1', '1', '1', '1', '4', '1', '3']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_66.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_72.py,0.0,"['9', '12', '9', '16', '8', '15', '12', '2', '9', '4', '5', '5', '16', '2', '12']","['', '', '', '', '', '', '', '0', '', '', '', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
