File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['2 130\n2 1\n3 2', '1 1\n1 1', '0 0', '1 5\n2 1', '1 10\n1 1', '1 100\n1 1', '2 190\n1 1\n2 2', '2 15\n1 3\n2 1', '6 3621\n6 2\n2 8\n9 7\n4 1\n7 10\n5 4', '7 5233\n6 10\n1 9\n7 7\n3 4\n4 2\n2 3\n9 6', '3 1689\n2 3\n1 2\n3 4', '5 3509\n3 7\n1 9\n7 5\n2 8\n5 6', '1 609\n1 1', '6 2482\n4 3\n7 6\n8 4\n3 1\n1 2\n6 5', '3 1643\n2 5\n1 1\n3 6']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
