File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['4', '10', '68', 'INTERNAL ERROR OR TIMEOUT', '178', '1', '26', '466', '150050', '53253781', '877602881', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '466']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['0.5', '1.25', '5.3125', 'INTERNAL ERROR OR TIMEOUT', '10.65625', '0', '2.625', '21.328125', '1365.333251953125', '296396748.66666603', '645217905.0', '519368831.0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '21.328125']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', 'INTERNAL ERROR OR TIMEOUT', '', '', '', '', '', '', '', '', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['1', '1', '1', 'INTERNAL ERROR OR TIMEOUT', '1', '1', '1', '1', '1', '1', '1', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['', '', '', 'INTERNAL ERROR OR TIMEOUT', '', '', '', '', '', '', '', '', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['748683265', '748683265', '842268673', '202370013', '873463809', '499122177', '811073537', '896860161', '969851905', '708668919', '342983896', '843775535', '503231359', '801261687', '896860161']","['0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', '0', '0', '0', '0', '0', '0', '0', '0', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
