File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['0.500000000\n0.347800000', '0.5\n0.3478', '0.5\n0.0235', '0.5\n0.5535', '0.5016\n0.5535', '0.5136\n0.5535', '0.5968\n0.5535', '0.5968\n0.527', '1.0\n0.527', '0.5968\n-0.05797', '0.5968\n0', '0.5\n0.47', '0.5\n0.1378', '0.5\n0.0185', '0.5\n0.0095']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
