File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.06666666666666667,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['0', '1', '2', '2', '2', '2', '1', '0', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['1', '', '', '', '0', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['', '', '', '', '0', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['4', '20', '62', '154', '2', '8', '858', '433410', '589934534', '858', '132632316', '707517223', '2046', '2097150', '810970229']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
