File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_52.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_46.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['17\n18\n286', '783349080\n330291712\n563526719\n85924', '783349080\n330291712\n563526719\n85924', '16', '946107806', '419161696', '838323380', '783349080\n372565328\n563526719\n85924', '810855372', '621710725', '432566078', '783349080\n330291712\n783294328\n85924', '17\n18\n306', '262617637', '783349080\n372565328\n603348715\n85924']","['', '', '', '0', '0', '0', '0', '', '0', '0', '0', '', '', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
