File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.0', '0.0', '0.0', '0.0', '0.0', '', '0.0', '0.0', '0.0', '0.0', '', '0.0', '', '0.0', '0.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '1.0', '', '1.0', '1.0', '1.0', '1.0', '', '1.0', '1.0', '1.0', '1.0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['-1', '-1', '-1', '-1', '-1', '1.000000', '-1', '-1', '-1', '-1', '-1', '-1', '1.000000', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '0.0', '', '0.0', '', '100.0', '1.0932613642702743e-12', '0.0', '0.0', '', '136.5197374054517', '1.0932613642702743e-12', '1.0', '0.22222222222222224', '0.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.8852459016393442', '0.8282051282051283', '0.974376731301939', '0.0', '0.9192307692307692', '0.0', '0.5531914893617021', '0.4166666666666667', '0.4166666666666667', '0.980521426430926', '0.6585365853658537', '0.5531914893617021', '1.0', '0.0', '0.955068493150685']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.11904761904761904', '0.43283582089552236', '0.4189189189189189', '0.5882352941176471', '0.47619047619047616', '100.0', '0.07936507936507936', '0.42857142857142855', '0.42857142857142855', '0.2', '0.6428571428571429', '0.07936507936507936', '1.0', '0.3333333333333333', '0.6097560975609756']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['-1', '-1', '-1', '-1', '-1', '0.500000', '-1', '-1', '-1', '-1', '-1', '-1', '0.500000', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.0', '0.9999996931744226', '0.0', '1.0', '0.0', '1.0', '0.0', '0.980224609375', '0.980224609375', '0.0', '0.8958402868568988', '0.0', '1.0', '1.0', '0.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.000000', '0.000000', '0.000000', '1.000000', '0.000000', '1.000000', '1.000000', '0.000000', '0.000000', '0.000000', '0.780488', '1.000000', '1.000000', '0.000000', '0.000000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['0.007650545322444922', '0.019465022097318964', '0.005939366751767292', '0.05636171909229834', '0.022584455094087085', '-1', '0.009448520276720683', '0.05405556815301916', '0.05405556815301916', '0.0028942434082912284', '0.04326923076923075', '0.009448520276720683', '0.6666666666666666', '0.19999999999999998', '0.009552403691606383']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['-1.0', '-1.0', '-1.0', '-1.0', '-1.0', '0.0', '-1.0', '-1.0', '-1.0', '-1.0', '-1.0', '-1.0', '0.0', '-1.0', '-1.0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['0.3622396242', '0.5045577611', '0.4371110171', '0.9998600700', '0.4148600545', '0.0000000000', '0.8915600093', '0.8857504121', '0.8857504121', '0.1657312956', '0.9711321228', '0.8915600093', '0.0000000000', '0.0000000000', '0.7067680293']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
