File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['-inf', '2790', '0', '92907', '999', '127149', '91534', '0', '1918', '141885', '0', '-inf', '95098', '91658', '221700']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['2', '22019', '78421', '574905', '9945', '463901', '480620', '113532', '6235', '349645', '81', '115', '275142', '450627', '353506']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '408', '331', '871', '11', '611', '531', '207', '', '617', '', '', '417', '651', '307']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_69.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_59.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_76.py,0.0,"['1', '1670', '1232', '88000', '1000', '1145', '55948', '713', '87', '1161', '26', '16', '1156', '66116', '831']","['', '', '', '', '', '', '', '0', '0', '', '', '0', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
