File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0\n0', '0\n0\n0\n0\n0\n0\n0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['2\n2\n1\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n1\n1\n2\n1\n0\n1\n0\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n1\n2\n2', '2\n2\n2\n0\n1\n2\n2\n2\n1\n2\n1\n1\n2\n1', '2\n2\n0\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n0\n0\n1\n2\n1\n2\n1\n2\n1\n2\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n0\n0\n1\n1\n1\n2\n1\n1\n1\n1\n2\n2', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n1\n2\n1', '2\n2\n1\n0\n1\n2\n1\n2\n1\n1\n1\n2\n2\n1', '2\n2\n0\n0\n1\n2\n1\n1\n1\n2\n1\n1\n2\n1', '2\n2\n2\n0\n1\n2\n1\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
