File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_58.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_78.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['1\n2\n2\n2\n2', '1\n2\n2\n2\n2', '1\n1\n1\n2\n2', '1\n2\n2\n2\n2', '1\n1\n1\n2\n1', '1\n2\n2\n2\n2', '2\n2\n2\n1\n2', '2\n2\n2\n1\n2', '2\n2\n2\n1\n2', '2\n2\n2\n1\n1', '2\n2\n2\n1\n1', '2\n2\n2\n1\n1', '2\n2\n2\n1\n1', '2\n2\n2\n1\n1', '2\n2\n2\n1\n1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_68.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['0\n25\n0\n6\n0', '0\n25\n0\n6\n0', '1\n0\n1\n2\n0', '0\n25\n0\n6\n0', '1\n0\n1\n2\n0', '0\n25\n0\n6\n0', '0\n0\n0\n6\n0', '0\n0\n16\n6\n0', '0\n0\n16\n6\n0', '0\n0\n16\n6\n0', '0\n0\n16\n6\n0', '0\n0\n16\n0\n0', '0\n0\n16\n0\n0', '0\n0\n16\n0\n0', '2\n0\n16\n0\n0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_79.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT', 'INTERNAL ERROR OR TIMEOUT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['1842\n12\n1015\n3\n1908', '1842\n12\n1015\n3\n1908', '5\n2\n6\n4\n2070', '1842\n12\n1015\n2\n1908', '5\n2\n6\n4\n1872', '7500\n12\n1015\n2\n1908', '7709\n12\n1015\n2\n1908', '7709\n12\n8\n2\n1908', '15968\n12\n8\n2\n1908', '15968\n12\n8\n2\n1014', '15968\n12\n6\n2\n1014', '15968\n12\n6\n1\n1014', '15968\n20\n6\n1\n1014', '15968\n170\n6\n1\n1014', '2\n170\n6\n1\n1014']","['1', '1', '', '1', '', '1', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
