File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '0', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,[],[],[]
code_28.py,0.06666666666666667,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '42', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,[],[],[]
code_18.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,[],[],[]
code_13.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '0', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.0,[],[],[]
code_17.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_33.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['', '-1', '', '', '-1', '67', '-1', '-1', '-1', '-1', '', '19', '-1', '-1', '-1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['3', '7', '42', '98', '100', '181', '202', '351', '187', '248', '218', '77', '225', '948573', '187']","['0', '', '', '0', '0', '', '0', '0', '', '0', '', '0', '0', '0', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
