File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['30', '516', '821', '90', '10', '0', '0', '90', '821', '10', '821', '19', '30', '1', '90']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.2,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['60', '980', '1850', '310', '160', '20', '20', '310', '1850', '160', '1820', '160', '60', '20', '310']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
code_38.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['inf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf', 'inf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf', 'inf\ninf\ninf', 'inf', 'inf\ninf\ninf\ninf\ninf\ninf\ninf\ninf']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,[],[],[]
code_18.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_27.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['20\n20\n10', '20\n20\n10\n0\n20\n0\n0\n20\n20\n10', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n10\n0\n0\n0\n0\n0', '20', '20', '20\n20\n10\n0\n0\n0\n0\n20', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n20\n20\n20\n20\n0', '20\n20\n10\n0\n0\n0\n0\n0', '20\n20\n10', '20', '20\n20\n10\n0\n0\n0\n0\n20']","['120', '990', '760', '500', '500', '40', '40', '500', '760', '500', '670', '500', '120', '40', '500']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
