File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_48.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_19.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_39.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['0\n3\nb', '0\n5\na', '0\n10\na', '0\n1000\na', '0\n99\na', '0\n4\nw', '0\n8\nb', '0\n10\nb', '0\n7\nb', '0\n10\nb', '0\n95\nz', '0\n94\nb', '0\n1\na', '0\n3\na', '0\n6\nb']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['1\n2\n1', '1\n9\n1', '1\n9\n1', '1\n54\n1', '1\n98\n1', '1\n99\n1', '1\n7\n1', '1\n9\n1', '1\n9\n1', '1\n9\n1', '1\n99\n1', '1\n98\n1', '1\n0', '1\n6\n1', '1\n6\n1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_49.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.06666666666666667,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '89\n10\n1', '851432142\n55\n1', '687995182\n99\n1', '', '', '', '', '', '', '', '1\n1\n1', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_27.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_42.py,0.0,"['3\n2\n2', '401\n4\n3', '1\n1\n10', '383381198\n55\n1', '494092815\n96\n2', '750728890\n4\n27', '64\n7\n2', '32\n5\n5', '8\n2\n7', '511\n9\n2', '962845356\n16\n13', '61873945\n12\n25', '1\n1\n1', '21\n2\n4', '60\n6\n2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
