File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_13.py,0.6,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['0', '0', '5', '100', '0', '0', '0', '0', '13', '1', '0', '0', '7', '1', '0']","[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]"
code_4.py,1.0,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_0.py,0.8,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['4', '0', '5', '100', '49', '39', '99', '1', '13', '1', '1', '0', '7', '1', '0']","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
code_1.py,1.0,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_12.py,0.4,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['4', '0', '3', '50', '49', '0', '99', '0', '7', '1', '1', '0', '4', '1', '0']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]"
code_5.py,1.0,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_15.py,0.2,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
code_2.py,1.0,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_11.py,0.7333333333333333,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['6', '3', '5', '100', '98', '80', '99', '5', '13', '1', '2', '0', '7', '1', '0']","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
code_6.py,0.4,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['8', '5', '5', '100', '100', '100', '100', '100', '13', '1', '3', '1', '7', '1', '1']","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
code_10.py,0.06666666666666667,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['8', '5', '6', '100', '100', '100', '100', '100', '14', '2', '3', '1', '8', '2', '1']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_7.py,1.0,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_14.py,0.8666666666666667,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '0', '5', '100', '98', '66', '99', '5', '13', '1', '2', '0', '7', '1', '0']","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
code_3.py,0.06666666666666667,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['5', '3', '2', '87', '86', '87', '98', '98', '6', '', '1', '1', '5', '', '1']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_8.py,0.4,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['2', '0', '6', '100', '98', '0', '0', '0', '14', '2', '2', '0', '8', '2', '0']","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
code_9.py,0.3333333333333333,"['5', '0', '5', '100', '98', '39', '99', '1', '13', '1', '2', '0', '7', '1', '0']","['1', '0', '3', '50', '49', '0', '0', '0', '7', '1', '1', '0', '4', '1', '0']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
