File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_13.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","[""[1, 'a', 4.5, 2, 'b', 6.7, 3, None, None]"", ""[1, 'a', 4.5, 2, 'b', 6.7, 3, None, None]"", ""[1, 'a', 4.5, 2, 'b', 6.7, 3, None, None]"", ""[1, 'a', 4.5, 2, 'b', 6.7, 3, None, None]"", ""[1, 'a', 4.5, 2, 'b', 6.7, 3, None, None]"", ""[1, 'a', 4.5, 2, 'b', 6.7, 3, None, None]""]","[0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","[""[1, 'a', True, 2, 'b', False, 3, None, None]"", ""[1, 'a', True, 2, 'b', False, 3, None, None]"", ""[1, 'a', True, 2, 'b', False, 3, None, None]"", ""[1, 'a', True, 2, 'b', False, 3, None, None]"", ""[1, 'a', True, 2, 'b', False, 3, None, None]"", ""[1, 'a', True, 2, 'b', False, 3, None, None]""]","[0, 0, 0, 0, 0, 0]"
code_12.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
code_2.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['[1, 1, 1, 4, 4, 4, 6, 6, 6]', '[1, 1, 1, 4, 4, 4, 6, 6, 6]', '[1, 1, 1, 4, 4, 4, 6, 6, 6]', '[1, 1, 1, 4, 4, 4, 6, 6, 6]', '[1, 1, 1, 4, 4, 4, 6, 6, 6]', '[1, 1, 1, 4, 4, 4, 6, 6, 6]']","[0, 0, 0, 0, 0, 0]"
code_11.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
code_6.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
code_10.py,0.0,"[""[1, 'c', 2, 'd', 3, 'e']"", '[1, 4, 2, 5, 3, None]', '[1, 3, 2, 4, None, 5]', '[None, None, None, None, None, None, None, None, None]', '[1, 4, 7, 2, 5, 8, 3, 6, 9]', '[]']","['', '', '', '', '', '']","[0, 0, 0, 0, 0, 0]"
