File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_13.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_4.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_17.py,0.0,"['[2, 3, 4, 5]']","['Enter the starting integer: Enter the ending integer: [2, 3, 4, 5]']",[0]
code_0.py,1.0,"['[2, 3, 4, 5]']","['[2, 3, 4, 5]']",[1]
code_16.py,0.0,"['[2, 3, 4, 5]']",['Enter the start value: Enter the end value:'],[0]
code_1.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_12.py,0.0,"['[2, 3, 4, 5]']",['2\n3\n4\n5'],[0]
code_5.py,0.0,"['[2, 3, 4, 5]']","['Enter the first integer: Enter the second integer (which is greater than or equal to the first): [2, 3, 4, 5]']",[0]
code_15.py,0.0,"['[2, 3, 4, 5]']","['Enter the first integer: Enter the second integer: [2, 3, 4, 5]']",[0]
code_2.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_11.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_6.py,0.0,"['[2, 3, 4, 5]']",['Enter the first integer: Enter the second integer: 3 3'],[0]
code_10.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_7.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_14.py,0.0,"['[2, 3, 4, 5]']",['Enter the first integer:'],[0]
code_3.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_8.py,0.0,"['[2, 3, 4, 5]']",[''],[0]
code_9.py,0.0,"['[2, 3, 4, 5]']","['Enter the first integer: Enter the second integer: [2, 3, 4, 5]']",[0]
