File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.4666666666666667,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10\n20 20', '3 1\n3 5\n3 7\n3 7\n3 9\n2 9\n2 9', '1 7\n1 5\n1 3\n1 1\n3 7\n3 5\n3 3\n3 1\n5 7\n5 5\n5 3\n5 1\n7 7\n7 5\n7 3\n7 1', '1 10', '148 40', '77 183\n77 174\n77 187\n77 111\n77 121\n77 21\n77 129\n77 28\n112 183\n112 174\n112 187\n112 111\n112 121\n112 21\n112 129\n112 28\n81 183\n81 174\n81 187\n81 111\n81 121\n81 21\n81 129\n81 28\n91 183\n91 174\n91 187\n91 111\n91 121\n91 129\n91 28', '80 129\n80 114\n80 183\n80 94\n80 169\n80 16\n80 18\n80 104\n80 146\n80 68\n80 157\n80 33\n80 38\n80 10\n80 112\n80 47\n80 73\n80 37\n141 129\n141 114\n141 183\n141 94\n141 169\n141 18\n141 104\n141 49\n141 146\n141 68\n141 157\n141 33\n141 38\n141 10\n141 77\n141 112\n141 47\n141 73\n141 37\n15 129\n15 183\n15 94\n15 169\n15 16\n15 104\n15 49\n15 146\n15 68\n15 157\n15 33\n15 38\n15 10\n15 77\n15 112\n15 47\n15 73\n15 37\n177 129\n177 114\n177 183\n177 94\n177 169\n177 16\n177 18\n177 104\n177 49\n177 146\n177 68\n177 157\n177 33\n177 38\n177 10\n177 77\n177 112\n177 47\n177 73\n177 37\n191 129\n191 114\n191 183\n191 94\n191 169\n191 16\n191 18\n191 104\n191 49\n191 146\n191 68\n191 157\n191 33\n191 38\n191 10\n191 77\n191 112\n191 47\n191 73\n191 37\n182 129\n182 114\n182 183\n182 94\n182 169\n182 16\n182 18\n182 104\n182 49\n182 146\n182 68\n182 157\n182 33\n182 38\n182 10\n182 77\n182 112\n182 47\n182 73\n182 37\n115 129\n115 114\n115 183\n115 94\n115 169\n115 16\n115 18\n115 104\n115 49\n115 146\n115 157\n115 33\n115 38\n115 10\n115 77\n115 112\n115 47\n115 73\n115 37\n183 129\n183 114\n183 183\n183 94\n183 169\n183 16\n183 18\n183 104\n183 49\n183 146\n183 68\n183 157\n183 33\n183 38\n183 10\n183 77\n183 112\n183 47\n183 73\n183 37\n36 129\n36 114\n36 183\n36 94\n36 169\n36 16\n36 18\n36 104\n36 49\n36 157\n36 33\n36 38\n36 10\n36 77\n36 112\n36 47\n36 73\n3 129\n3 114\n3 183\n3 94\n3 169\n3 16\n3 18\n3 104\n3 49\n3 146\n3 68\n3 157\n3 38\n3 10\n3 47\n3 73\n3 37', '199 116\n199 2\n199 185\n199 117\n199 66\n199 158\n199 78\n199 120\n199 196\n199 175\n199 101\n199 117\n199 52\n199 27\n199 155\n199 153\n199 96\n199 200\n199 81\n199 38\n199 36\n199 89\n199 154\n199 8\n199 77\n199 7\n199 31\n199 163\n199 174\n199 189\n199 126\n199 155\n199 111\n199 115\n199 199\n199 2\n199 25\n199 5\n199 150\n199 5\n34 185\n34 117\n34 66\n34 158\n34 78\n34 196\n34 175\n34 101\n34 117\n34 52\n34 27\n34 153\n34 200\n34 38\n34 36\n34 89\n34 154\n34 8\n34 7\n34 163\n34 174\n34 189\n34 126\n34 111\n34 115\n34 199\n34 25\n34 5\n34 150\n34 5\n116 116\n116 2\n116 185\n116 117\n116 158\n116 120\n116 196\n116 175\n116 101\n116 117\n116 52\n116 27\n116 155\n116 153\n116 96\n116 200\n116 81\n116 36\n116 89\n116 154\n116 8\n116 77\n116 7\n116 31\n116 163\n116 174\n116 189\n116 126\n116 155\n116 111\n116 115\n116 199\n116 2\n116 25\n116 5\n116 150\n116 5\n194 116\n194 185\n194 117\n194 66\n194 158\n194 78\n194 120\n194 196\n194 175\n194 101\n194 117\n194 52\n194 27\n194 155\n194 153\n194 96\n194 200\n194 81\n194 38\n194 36\n194 89\n194 154\n194 8\n194 77\n194 7\n194 31\n194 163\n194 174\n194 189\n194 126\n194 155\n194 111\n194 115\n194 199\n194 25\n194 150\n65 116\n65 2\n65 185\n65 66\n65 158\n65 78\n65 196\n65 175\n65 101\n65 27\n65 155\n65 153\n65 96\n65 200\n65 81\n65 38\n65 154\n65 8\n65 7\n65 163\n65 174\n65 189\n65 126\n65 155\n65 111\n65 115\n65 199\n65 2\n65 25\n65 5\n65 150\n65 5\n130 116\n130 2\n130 185\n130 117\n130 158\n130 78\n130 120\n130 196\n130 175\n130 101\n130 117\n130 27\n130 155\n130 153\n130 96\n130 200\n130 81\n130 38\n130 36\n130 89\n130 154\n130 8\n130 77\n130 7\n130 31\n130 163\n130 174\n130 189\n130 126\n130 155\n130 111\n130 115\n130 199\n130 2\n130 5\n130 150\n130 5\n88 116\n88 2\n88 185\n88 117\n88 158\n88 78\n88 120\n88 196\n88 175\n88 117\n88 52\n88 155\n88 153\n88 96\n88 200\n88 81\n88 36\n88 89\n88 154\n88 77\n88 7\n88 31\n88 163\n88 174\n88 189\n88 126\n88 155\n88 115\n88 199\n88 2\n88 25\n88 5\n88 150\n88 5\n7 116\n7 2\n7 185\n7 117\n7 66\n7 158\n7 78\n7 120\n7 196\n7 101\n7 117\n7 52\n7 155\n7 153\n7 96\n7 200\n7 38\n7 36\n7 154\n7 8\n7 77\n7 7\n7 174\n7 126\n7 155\n7 111\n7 115\n7 199\n7 2\n7 25\n7 5\n7 150\n7 5\n29 116\n29 185\n29 117\n29 66\n29 158\n29 78\n29 120\n29 196\n29 175\n29 117\n29 27\n29 155\n29 96\n29 200\n29 81\n29 38\n29 89\n29 154\n29 77\n29 31\n29 163\n29 174\n29 189\n29 155\n29 111\n29 115\n29 199\n29 25\n29 150\n130 116\n130 2\n130 185\n130 117\n130 158\n130 78\n130 120\n130 196\n130 175\n130 101\n130 117\n130 27\n130 155\n130 153\n130 96\n130 200\n130 81\n130 38\n130 36\n130 89\n130 154\n130 8\n130 77\n130 7\n130 31\n130 163\n130 174\n130 189\n130 126\n130 155\n130 111\n130 115\n130 199\n130 2\n130 5\n130 150\n130 5\n11 116\n11 2\n11 117\n11 158\n11 120\n11 196\n11 101\n11 117\n11 52\n11 155\n11 153\n11 96\n11 200\n11 81\n11 38\n11 36\n11 89\n11 154\n11 8\n11 7\n11 31\n11 126\n11 155\n11 111\n11 199\n11 2\n11 5\n11 150\n11 5\n142 116\n142 2\n142 185\n142 117\n142 66\n142 158\n142 78\n142 120\n142 196\n142 175\n142 101\n142 117\n142 27\n142 155\n142 153\n142 96\n142 200\n142 81\n142 38\n142 36\n142 89\n142 154\n142 77\n142 7\n142 31\n142 163\n142 174\n142 189\n142 126\n142 155\n142 111\n142 115\n142 199\n142 2\n142 25\n142 5\n142 150\n142 5\n186 116\n186 2\n186 185\n186 117\n186 66\n186 158\n186 78\n186 120\n186 196\n186 175\n186 101\n186 117\n186 52\n186 27\n186 155\n186 153\n186 96\n186 200\n186 81\n186 38\n186 36\n186 89\n186 154\n186 77\n186 7\n186 31\n186 163\n186 174\n186 189\n186 126\n186 155\n186 111\n186 115\n186 199\n186 2\n186 25\n186 5\n186 150\n186 5\n98 116\n98 2\n98 185\n98 117\n98 66\n98 158\n98 78\n98 120\n98 196\n98 175\n98 117\n98 27\n98 155\n98 153\n98 200\n98 81\n98 38\n98 36\n98 89\n98 154\n98 8\n98 7\n98 31\n98 163\n98 174\n98 189\n98 126\n98 155\n98 111\n98 115\n98 199\n98 2\n98 25\n98 5\n98 150\n98 5\n182 116\n182 2\n182 185\n182 117\n182 66\n182 158\n182 78\n182 120\n182 196\n182 175\n182 101\n182 117\n182 52\n182 27\n182 155\n182 153\n182 96\n182 200\n182 81\n182 38\n182 36\n182 89\n182 154\n182 8\n182 77\n182 31\n182 163\n182 174\n182 189\n182 126\n182 155\n182 111\n182 115\n182 199\n182 2\n182 25\n182 5\n182 150\n182 5\n87 116\n87 185\n87 117\n87 158\n87 78\n87 120\n87 196\n87 175\n87 101\n87 117\n87 52\n87 27\n87 155\n87 153\n87 96\n87 200\n87 81\n87 38\n87 36\n87 89\n87 154\n87 8\n87 77\n87 7\n87 31\n87 163\n87 174\n87 189\n87 126\n87 155\n87 111\n87 115\n87 199\n87 25\n87 5\n87 150\n87 5\n170 116\n170 2\n170 185\n170 117\n170 66\n170 158\n170 78\n170 120\n170 196\n170 175\n170 101\n170 117\n170 52\n170 27\n170 155\n170 153\n170 96\n170 200\n170 81\n170 38\n170 36\n170 89\n170 154\n170 8\n170 77\n170 7\n170 31\n170 163\n170 174\n170 189\n170 126\n170 155\n170 111\n170 115\n170 199\n170 2\n170 25\n170 150\n4 2\n4 117\n4 66\n4 158\n4 78\n4 120\n4 175\n4 101\n4 117\n4 52\n4 155\n4 153\n4 96\n4 200\n4 81\n4 38\n4 36\n4 89\n4 8\n4 31\n4 163\n4 174\n4 189\n4 155\n4 115\n4 199\n4 2\n4 5\n4 5\n37 2\n37 185\n37 66\n37 158\n37 120\n37 196\n37 175\n37 101\n37 27\n37 155\n37 153\n37 96\n37 200\n37 81\n37 38\n37 36\n37 154\n37 8\n37 77\n37 7\n37 31\n37 174\n37 189\n37 155\n37 111\n37 115\n37 199\n37 2\n37 25\n37 5\n37 150\n37 5\n17 116\n17 2\n17 185\n17 117\n17 66\n17 78\n17 120\n17 196\n17 175\n17 101\n17 117\n17 52\n17 27\n17 155\n17 96\n17 200\n17 38\n17 36\n17 89\n17 154\n17 77\n17 7\n17 31\n17 163\n17 174\n17 189\n17 126\n17 155\n17 111\n17 115\n17 199\n17 2\n17 25\n17 5\n17 150\n17 5', '197 95\n197 28\n197 20\n197 190\n197 75\n197 89\n197 193\n197 152\n197 53\n197 79\n197 100\n197 3\n197 154\n197 42\n197 67\n197 5\n197 137\n197 60\n90 95\n90 28\n90 20\n90 190\n90 75\n90 89\n90 193\n90 152\n90 53\n90 79\n90 154\n90 67\n90 137\n23 95\n23 20\n23 190\n23 75\n23 89\n23 193\n23 53\n23 79\n23 100\n23 3\n23 154\n23 42\n23 60\n11 28\n11 20\n11 190\n11 75\n11 193\n11 152\n11 53\n11 3\n11 154\n11 67\n11 5\n11 137\n11 60\n63 95\n63 28\n63 20\n63 190\n63 75\n63 193\n63 152\n63 53\n63 79\n63 100\n63 3\n63 154\n63 42\n63 67\n63 137\n63 60\n198 95\n198 28\n198 20\n198 190\n198 75\n198 89\n198 193\n198 152\n198 53\n198 79\n198 100\n198 3\n198 154\n198 42\n198 67\n198 5\n198 137\n198 60\n24 95\n24 28\n24 20\n24 190\n24 75\n24 89\n24 193\n24 152\n24 79\n24 3\n24 154\n24 42\n24 67\n132 95\n132 190\n132 75\n132 89\n132 193\n132 152\n132 53\n132 79\n132 100\n132 3\n132 154\n132 42\n132 67\n132 137\n132 60\n68 95\n68 20\n68 190\n68 75\n68 89\n68 193\n68 152\n68 53\n68 79\n68 100\n68 3\n68 154\n68 42\n68 67\n68 5\n68 137\n68 60\n58 95\n58 28\n58 20\n58 190\n58 75\n58 89\n58 193\n58 152\n58 100\n58 3\n58 154\n58 60\n195 95\n195 28\n195 20\n195 190\n195 75\n195 89\n195 193\n195 152\n195 53\n195 79\n195 100\n195 154\n195 42\n195 67\n195 5\n195 137\n195 60\n100 28\n100 190\n100 193\n100 152\n100 53\n100 79\n100 100\n100 3\n100 154\n100 42\n100 67\n100 5\n100 137\n101 95\n101 28\n101 20\n101 190\n101 75\n101 193\n101 152\n101 100\n101 3\n101 154\n101 42\n101 67\n101 137\n120 95\n120 28\n120 20\n120 190\n120 89\n120 193\n120 152\n120 53\n120 79\n120 100\n120 3\n120 154\n120 42\n120 67\n120 137\n96 95\n96 20\n96 190\n96 75\n96 89\n96 193\n96 152\n96 53\n96 100\n96 3\n96 154\n96 42\n96 67\n96 137\n96 60\n77 28\n77 20\n77 190\n77 89\n77 193\n77 152\n77 53\n77 79\n77 100\n77 3\n77 154\n77 42\n77 67\n77 5\n77 137\n132 95\n132 190\n132 75\n132 89\n132 193\n132 152\n132 53\n132 79\n132 100\n132 3\n132 154\n132 42\n132 67\n132 137\n132 60\n155 95\n155 190\n155 75\n155 89\n155 193\n155 152\n155 53\n155 79\n155 100\n155 3\n155 154\n155 67\n155 137\n155 60\n62 95\n62 20\n62 190\n62 89\n62 193\n62 152\n62 53\n62 79\n62 100\n62 3\n62 154\n62 42\n62 67\n62 137\n197 95\n197 28\n197 20\n197 190\n197 75\n197 89\n197 193\n197 152\n197 53\n197 79\n197 100\n197 3\n197 154\n197 42\n197 67\n197 5\n197 137\n197 60\n170 95\n170 190\n170 75\n170 89\n170 193\n170 152\n170 53\n170 79\n170 100\n170 3\n170 154\n170 42\n170 67\n170 137\n170 60\n117 95\n117 28\n117 190\n117 75\n117 89\n117 193\n117 152\n117 79\n117 100\n117 154\n117 42\n117 67\n117 137\n117 60\n189 95\n189 28\n189 20\n189 190\n189 75\n189 89\n189 193\n189 152\n189 53\n189 79\n189 100\n189 3\n189 154\n189 42\n189 67\n189 137\n189 60\n160 95\n160 28\n160 190\n160 75\n160 89\n160 193\n160 152\n160 53\n160 79\n160 100\n160 3\n160 154\n160 42\n160 67\n160 5\n160 137\n160 60\n194 95\n194 28\n194 20\n194 190\n194 75\n194 89\n194 193\n194 152\n194 53\n194 79\n194 100\n194 154\n194 42\n194 67\n194 5\n194 137\n194 60\n106 95\n106 28\n106 20\n106 190\n106 75\n106 193\n106 152\n106 53\n106 79\n106 100\n106 3\n106 154\n106 42\n106 67\n106 137\n106 60\n172 95\n172 28\n172 20\n172 190\n172 75\n172 89\n172 193\n172 152\n172 53\n172 79\n172 100\n172 154\n172 42\n172 67\n172 5\n172 137\n172 60\n124 95\n124 20\n124 190\n124 75\n124 89\n124 193\n124 152\n124 53\n124 79\n124 100\n124 3\n124 154\n124 42\n124 67\n124 5\n124 137\n124 60\n180 95\n180 28\n180 20\n180 190\n180 75\n180 89\n180 193\n180 152\n180 53\n180 79\n180 100\n180 154\n180 42\n180 67\n180 5\n180 137\n180 60\n75 28\n75 190\n75 89\n75 193\n75 152\n75 53\n75 3\n75 154\n75 67\n75 5\n75 137\n75 60\n124 95\n124 20\n124 190\n124 75\n124 89\n124 193\n124 152\n124 53\n124 79\n124 100\n124 3\n124 154\n124 42\n124 67\n124 5\n124 137\n124 60\n51 95\n51 20\n51 190\n51 75\n51 89\n51 193\n51 152\n51 53\n51 79\n51 100\n51 3\n51 154\n51 67\n51 5\n51 137\n51 95\n51 20\n51 190\n51 75\n51 89\n51 193\n51 152\n51 53\n51 79\n51 100\n51 3\n51 154\n51 67\n51 5\n51 137\n93 95\n93 28\n93 20\n93 190\n93 75\n93 89\n93 193\n93 152\n93 53\n93 154\n93 42\n93 5\n93 137\n93 60\n186 95\n186 28\n186 20\n186 190\n186 75\n186 89\n186 193\n186 152\n186 53\n186 79\n186 100\n186 154\n186 42\n186 67\n186 5\n186 137\n186 60\n93 95\n93 28\n93 20\n93 190\n93 75\n93 89\n93 193\n93 152\n93 53\n93 154\n93 42\n93 5\n93 137\n93 60\n79 95\n79 28\n79 20\n79 190\n79 89\n79 193\n79 152\n79 79\n79 100\n79 3\n79 154\n79 42\n79 67\n79 137\n79 60\n111 95\n111 28\n111 20\n111 190\n111 89\n111 193\n111 152\n111 53\n111 100\n111 3\n111 154\n111 42\n111 67\n111 5\n111 137\n111 60\n161 95\n161 20\n161 190\n161 75\n161 89\n161 193\n161 152\n161 53\n161 79\n161 100\n161 3\n161 154\n161 42\n161 67\n161 5\n161 137\n161 60\n67 95\n67 20\n67 190\n67 75\n67 89\n67 193\n67 152\n67 79\n67 100\n67 3\n67 154\n67 42\n67 67\n67 5\n67 137\n67 60\n84 95\n84 28\n84 20\n84 190\n84 75\n84 89\n84 193\n84 152\n84 79\n84 100\n84 3\n84 154\n84 42\n84 67\n84 137\n84 60\n183 95\n183 28\n183 20\n183 190\n183 75\n183 89\n183 193\n183 152\n183 53\n183 79\n183 100\n183 154\n183 42\n183 67\n183 5\n183 137\n183 60\n150 95\n150 28\n150 190\n150 75\n150 89\n150 193\n150 152\n150 53\n150 79\n150 100\n150 3\n150 154\n150 42\n150 67\n150 137\n150 60\n125 95\n125 28\n125 20\n125 190\n125 75\n125 89\n125 193\n125 152\n125 53\n125 79\n125 100\n125 3\n125 154\n125 42\n125 67\n125 5\n125 137\n125 60\n25 20\n25 190\n25 89\n25 193\n25 152\n25 53\n25 79\n25 154\n25 67\n25 5\n25 137\n25 60\n46 95\n46 28\n46 20\n46 190\n46 75\n46 89\n46 193\n46 53\n46 100\n46 3\n46 154\n46 42\n46 67\n106 95\n106 28\n106 20\n106 190\n106 75\n106 193\n106 152\n106 53\n106 79\n106 100\n106 3\n106 154\n106 42\n106 67\n106 137\n106 60\n29 28\n29 20\n29 190\n29 75\n29 89\n29 193\n29 152\n29 53\n29 79\n29 100\n29 3\n29 42\n29 5\n29 137\n170 95\n170 190\n170 75\n170 89\n170 193\n170 152\n170 53\n170 79\n170 100\n170 3\n170 154\n170 42\n170 67\n170 137\n170 60\n175 95\n175 28\n175 190\n175 75\n175 89\n175 193\n175 152\n175 53\n175 79\n175 100\n175 3\n175 154\n175 42\n175 67\n175 137\n175 60\n4 95\n4 28\n4 152\n4 53\n4 79\n4 100\n4 3\n4 154\n4 67\n4 5\n4 137\n4 60\n122 95\n122 20\n122 190\n122 89\n122 193\n122 152\n122 79\n122 100\n122 154\n122 42\n122 5\n122 137\n122 60', '101 101', '1 5\n1 1\n1 1\n4 5', '1 2', '5 1', '200 200', '3 1']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
code_0.py,0.4666666666666667,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10', '3 1\n2 9\n2 9', '1 7\n3 7\n5 7\n7 7', '1 10', '148 40', '77 183\n112 183\n81 183\n91 183', '80 129\n141 129\n15 129\n177 129\n191 129\n182 129\n115 129\n183 129\n36 129\n3 129', '199 116\n34 185\n116 116\n194 116\n65 116\n130 116\n88 116\n7 116\n29 116\n130 116\n11 116\n142 116\n186 116\n98 116\n182 116\n87 116\n170 116\n4 2\n37 2\n17 116', '197 95\n90 95\n23 95\n11 28\n63 95\n198 95\n24 95\n132 95\n68 95\n58 95\n195 95\n100 28\n101 95\n120 95\n96 95\n77 28\n132 95\n155 95\n62 95\n197 95\n170 95\n117 95\n189 95\n160 95\n194 95\n106 95\n172 95\n124 95\n180 95\n75 28\n124 95\n51 95\n51 95\n93 95\n186 95\n93 95\n79 95\n111 95\n161 95\n67 95\n84 95\n183 95\n150 95\n125 95\n25 20\n46 95\n106 95\n29 28\n170 95\n175 95\n4 95\n122 95', '101 101', '1 5\n4 5', '1 2', '5 1', '200 200', '3 1']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
code_1.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['1 200', '3 200', '4 200', '1 200', '1 200', '4 200', '10 200', '20 200', '52 200', '1 200', '2 200', '1 200', '5 200', 'None', '3 200']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_2.py,0.4666666666666667,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10', '3 1', '1 7', '1 10', '148 40', '77 183', '80 129', '199 116', '197 95', '101 101', '1 5', '1 2', '5 1', '200 200', '3 1']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
code_6.py,0.4666666666666667,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10', '2 9', '1 1', '1 10', '148 40', '77 21', '3 10', '4 2', '4 3', '101 101', '1 1', '1 2', '5 1', '200 200', '3 1']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
code_7.py,0.0,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_3.py,0.4666666666666667,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10', '3 1\n2 9\n2 9', '1 7\n3 7\n5 7\n7 7', '1 10', '148 40', '77 183\n112 183\n81 183\n91 183', '80 129\n141 129\n15 129\n177 129\n191 129\n182 129\n115 129\n183 129\n36 129\n3 129', '199 116\n34 185\n116 116\n194 116\n65 116\n130 116\n88 116\n7 116\n29 116\n130 116\n11 116\n142 116\n186 116\n98 116\n182 116\n87 116\n170 116\n4 2\n37 2\n17 116', '197 95\n90 95\n23 95\n11 28\n63 95\n198 95\n24 95\n132 95\n68 95\n58 95\n195 95\n100 28\n101 95\n120 95\n96 95\n77 28\n132 95\n155 95\n62 95\n197 95\n170 95\n117 95\n189 95\n160 95\n194 95\n106 95\n172 95\n124 95\n180 95\n75 28\n124 95\n51 95\n51 95\n93 95\n186 95\n93 95\n79 95\n111 95\n161 95\n67 95\n84 95\n183 95\n150 95\n125 95\n25 20\n46 95\n106 95\n29 28\n170 95\n175 95\n4 95\n122 95', '101 101', '1 5\n4 5', '1 2', '5 1', '200 200', '3 1']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
code_8.py,0.4666666666666667,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10', '2 9', '1 1', '1 10', '148 40', '77 21', '3 10', '4 2', '4 3', '101 101', '1 1', '1 2', '5 1', '200 200', '3 1']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
code_9.py,0.3333333333333333,"['20 20', '3 9', '7 7', '1 10', '148 40', '112 187', '191 183', '199 200', '198 193', '101 101', '4 5', '1 2', '5 1', '200 200', '3 1']","['20 10', '3 1', '1 1', '', '148 40', '77 21', '3 10', '4 2', '4 3', '101 101', '1 1', '', '5 1', '200 200', '3 1']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]"
