File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.4,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['3', '4', '0', '3', '1', '100', '100', '68', '16', '2', '0', '1', '4', '12', '68']","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
code_0.py,0.4666666666666667,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['0', '1', '0', '1', '1', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0']","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]"
code_1.py,0.6666666666666666,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['0', '5', '1', '4', '2', '101', '0', '69', '17', '0', '1', '1', '0', '0', '0']","[1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
code_5.py,0.4666666666666667,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1]"
code_2.py,0.13333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['3', '-4', '0', '-3', '-1', '-100', '100', '-68', '-16', '2', '0', '1', '4', '12', '68']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
code_11.py,0.3333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['-3', '4', '0', '3', '1', '100', '-100', '68', '16', '-2', '0', '-1', '-4', '-12', '-68']","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_6.py,0.3333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['-3', '4', '0', '3', '1', '100', '-100', '68', '16', '-2', '0', '-1', '-4', '-12', '-68']","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_10.py,0.5333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1]"
code_7.py,0.3333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['-3', '4', '0', '3', '1', '100', '-100', '68', '16', '-2', '0', '-1', '-4', '-12', '-68']","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_3.py,0.0,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_8.py,0.3333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['-3', '4', '0', '3', '1', '100', '-100', '68', '16', '-2', '0', '-1', '-4', '-12', '-68']","[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
code_9.py,0.7333333333333333,"['0', '4', '1', '3', '1', '100', '0', '69', '17', '0', '0', '1', '0', '0', '0']","['0', '4', '0', '4', '1', '100', '0', '69', '17', '0', '1', '0', '0', '0', '0']","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]"
