File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.06666666666666667,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['0', '4', '0', '0', '2', '0', '1', '1', '1', '0', '1', '0', '2', '0', '1']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.4666666666666667,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['2', '0', '8', '2', '0', '15', '0', '1', '0', '1', '1', '0', '0', '2', '3']","[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
code_1.py,0.0,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.13333333333333333,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['', '', '', '', '', '', '', '', '0', '1', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_5.py,0.7333333333333333,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['2', '0', '2', '2', '5', '2', '1', '0', '0', '1', '0', '1', '0', '2', '0']","[1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
code_2.py,0.4666666666666667,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['2', '3', '10', '4', '10', '54', '1', '75', '0', '1', '1', '1', '0', '2', '3']","[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0]"
code_11.py,1.0,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_6.py,0.13333333333333333,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['', '', '', '', '', '', '', '', '0', '1', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_10.py,1.0,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_7.py,0.13333333333333333,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['0', '2', '0', '0', '4', '0', '0', '69', '0', '0', '1', '0', '0', '0', '3']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
code_3.py,0.0,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_8.py,0.13333333333333333,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['', '', '', '', '', '', '', '', '0', '1', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
code_9.py,1.0,"['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","['2', '1', '8', '2', '5', '13', '1', '5', '0', '1', '0', '1', '0', '2', '0']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
