File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,['None'],['1 -> 2 -> 3 ->'],[0]
code_0.py,0.0,['None'],['1 -> 2 -> 3null'],[0]
code_1.py,0.0,['None'],[''],[0]
code_5.py,0.0,['None'],['3->2->1 null'],[0]
code_2.py,0.0,['None'],['5 -> 6 -> 7'],[0]
code_6.py,0.0,['None'],['5 -> 6 -> 7 -> null'],[0]
code_7.py,0.0,['None'],['5 -> 3 -> null'],[0]
code_3.py,0.0,['None'],['1 -> 2 -> 3null'],[0]
code_8.py,0.0,['None'],['1 -> 2 -> 3 -> null'],[0]
code_9.py,0.0,['None'],[''],[0]
