File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_18.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_13.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_4.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nYES\nYES\nYES\nYES\nYES\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_17.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nYES\nNO\nNO\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_0.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_16.py,0.75,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'NO']","[0, 1, 1, 1]"
code_1.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_12.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nYES\nNO\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_5.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_15.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_2.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nYES\nNO\nYES\nYES\nNO\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_11.py,0.0,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'YES', 'YES', 'YES']","[0, 0, 0, 0]"
code_6.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_10.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nYES\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_7.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_14.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nNO\nNO\nNO\nNO\nNO\nNO', 'YES', 'NO', 'NO']","[0, 0, 1, 1]"
code_3.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_8.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['YES\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
code_9.py,0.5,"['YES\nYES\nYES\nNO\nYES\nYES\nNO', 'NO', 'NO', 'NO']","['NO\nNO\nNO\nNO\nNO\nNO\nYES', 'NO', 'NO', 'YES']","[0, 1, 1, 0]"
