File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_13.py,0.4,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '2', '11', '0', '1', '2', '5', '1', '0', '2', '2', '3', '3', '8', '14']","[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_4.py,0.4,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['0', '0', '0', '0', '0', '2', '0', '1', '0', '0', '0', '3', '3', '0', '0']","[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_0.py,1.0,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_1.py,1.0,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_12.py,0.4666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '-1', '11', '0', '-1', '2', '-1', '1', '0', '-1', '-1', '3', '3', '8', '14']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_5.py,0.4666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['14', '2', '11', '0', '-1', '2', '5', '1', '0', '2', '2', '3', '3', '8', '14']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_15.py,0.4666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['-1', '-1', '-1', '0', '-1', '2', '-1', '1', '0', '-1', '-1', '3', '3', '-1', '-1']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_2.py,0.06666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['29', '5', '23', '1', '3', '1', '11', '1', '1', '5', '5', '1', '1', '17', '29']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
code_11.py,1.0,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
code_6.py,0.7333333333333333,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['18', '4', '21', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '16', '20']","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
code_10.py,0.6666666666666666,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '3', '12', '0', '-1', '2', '6', '1', '0', '3', '3', '3', '3', '9', '15']","[1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]"
code_7.py,0.4,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '12', '1', '2', '1', '6', '1', '1', '4', '4', '1', '1', '10', '15']","[1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]"
code_14.py,0.4,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['26', '4', '32', '0', '-1', '0', '9', '0', '0', '4', '4', '0', '0', '44', '83']","[0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
code_3.py,0.2,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['0', '0', '0', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
code_8.py,0.4666666666666667,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['2', '3', '10', '0', '-1', '2', '3', '1', '0', '3', '3', '3', '3', '2', '2']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
code_9.py,1.0,"['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","['15', '4', '20', '0', '-1', '2', '7', '1', '0', '4', '4', '3', '3', '9', '15']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
