File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_18.py,0.0,[],[],[]
code_13.py,0.05263157894736842,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['2', '764649968', '473676045', '19', '579104674', '754236203', '113910753', '222529970', '964127986', '8', '2', '295526252', '20', '851818793', '432825758', '12', '2', '606064895', '351764644']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,[],[],[]
code_17.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,[],[],[]
code_1.py,0.0,[],[],[]
code_12.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_15.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_2.py,0.0,[],[],[]
code_11.py,0.0,[],[],[]
code_6.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_10.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_7.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_14.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_3.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_8.py,0.0,[],[],[]
code_9.py,0.0,[],[],[]
