File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_29.py,0.16666666666666666,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['524261323', '456789819', '545460282', '626797334', '688296010', '728220740', '150994942', '524261323', '260211950', '76628926', '605816660', '80113454', '740354534', '704509832', '954413157', '42495558', '2', '28', '773937348', '742866187', '75497471', '201042967', '500622022', '282137331', '73190165', '545460282', '431822068', '359613537', '33565095', '523877874', '218926446', '103735206', '288489165', '912', '344607507', '2632']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_28.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['42', '137641', '400', '117034', '759', '396', '31', '42', '8880', '120890', '2170', '19304', '2847', '855', '96', '138756', '1', '4', '64064', '704', '30', '123984', '160000', '504', '68598', '400', '789', '157200', '13448', '210', '158000', '10804', '138', '8', '103208', '9']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_38.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['462', '419384791', '1', '288038374', '528079125', '166650', '1', '462', '15764140', '851547002', '661242995', '830374553', '737523266', '341834626', '528', '635968660', '1', '2', '942148112', '475765783', '1', '15997414', '847978220', '267089167', '282685662', '1', '34716', '606272242', '220163062', '1623160', '114409792', '761312029', '1', '4', '786473469', '6']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,[],[],[]
code_27.py,0.16666666666666666,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['585103145', '917253156', '545460282', '721915223', '759620784', '423240006', '150994942', '585103145', '930370169', '350870628', '978175774', '403301053', '174279296', '948285826', '407190198', '390933760', '2', '16', '359933756', '949971237', '75497471', '993006112', '681370191', '487149416', '468685088', '545460282', '344502963', '126249037', '98888455', '993020123', '416385538', '881954019', '288489165', '2048', '897691820', '16384']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
code_13.py,0.0,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['998243765', '229393729', '998164153', '548666792', '998084963', '998194853', '998243857', '998243765', '978104513', '318223637', '996894613', '903485843', '996137573', '998047703', '998241185', '152036887', '998244352', '998244344', '962159410', '998110769', '998243888', '128086172', '555670471', '998174423', '810943771', '998164153', '998036057', '778546271', '952201763', '998231333', '715268471', '968465828', '998234762', '998244323', '314859933', '998244317']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['19825', '656611205', '801', '855705883', '525608385', '65366401', '63', '19825', '272966312', '207432533', '328985972', '107746656', '758649700', '431368744', '45825', '419278375', '3', '13', '949273919', '87123442', '61', '101611895', '439895124', '478246518', '926873601', '801', '24394303', '612911479', '572084837', '638878193', '298335038', '796424565', '277', '41', '730914997', '63']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_37.py,0.027777777777777776,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['924', '838769582', '2', '576076748', '57913897', '333300', '2', '924', '31528280', '704849651', '324241637', '662504753', '476802179', '683669252', '1056', '273692967', '2', '4', '886051871', '951531566', '2', '31994828', '697712087', '534178334', '565371324', '2', '69432', '214300131', '440326124', '3246320', '228819584', '524379705', '2', '8', '574702585', '12']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.16666666666666666,"['2451038', '976512133', '545460282', '332347048', '17085553', '810037646', '150994942', '2451038', '712710466', '325063544', '731111230', '308205987', '512904748', '653415002', '243225867', '574518945', '2', '13', '486066916', '414982850', '75497471', '49612436', '412670892', '55155655', '278160079', '545460282', '493657620', '118876314', '502157462', '520830625', '50471764', '450683898', '288489165', '104', '676124923', '147']","['780136139', '441765533', '545460282', '199183330', '635261050', '408432900', '150994942', '780136139', '390266967', '625069744', '808426137', '552546978', '661822718', '953890745', '679058953', '765343871', '2', '16', '73342889', '299771973', '75497471', '721366120', '342500594', '873699127', '473412111', '545460282', '675648494', '272885898', '537349242', '284617744', '740817642', '647517509', '288489165', '256', '103262210', '512']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
