File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_13.py,0.16666666666666666,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_4.py,0.038461538461538464,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['-2', '-3', '0', '-2', '-1', '-1', '-10', '-3', '-19', '-3', '-26', '-2', '0', '-19', '-1748', '-1', '-5', '-4', '-11', '0', '-2', '-3', '-18', '-1751', '-4', '-12', '-5', '-1737', '-10', '-1755', '-1719', '-1724', '-17', '-21', '-1714', '-15', '-1755', '-1736', '-1727', '-1742', '-22', '-1749', '-1753', '-1741', '-1701', '-1737', '-1730', '-1745', '-1750', '-1706', '-1721', '-1724', '-1740', '-3', '-1', '-2', '-1', '-5', '-5', '-8', '-7', '-4', '-2', '-1724', '-3', '-7', '-6', '-3', '-3', '-21', '-7', '-2', '-4', '-22', '-6', '-6', '-6', '-6']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.11538461538461539,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['2', '3', '0', '2', '1', '1', '10', '3', '19', '3', '26', '2', '0', '19', '1748', '1', '5', '4', '11', '0', '2', '3', '18', '1751', '4', '12', '5', '1737', '10', '1755', '1719', '1724', '17', '21', '1714', '15', '1755', '1736', '1727', '1742', '22', '1749', '1753', '1741', '1701', '1737', '1730', '1745', '1750', '1706', '1721', '1724', '1740', '3', '1', '2', '1', '5', '5', '8', '7', '4', '2', '1724', '3', '7', '6', '3', '3', '21', '7', '2', '4', '22', '6', '6', '6', '6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
code_1.py,0.14102564102564102,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['1', '1', '0', '1', '0', '0', '7', '1', '16', '1', '20', '1', '0', '11', '1697', '0', '2', '1', '5', '0', '0', '2', '15', '1700', '1', '6', '3', '1686', '4', '1704', '1668', '1673', '14', '15', '1663', '12', '1704', '1685', '1676', '1673', '16', '1678', '1702', '1690', '1650', '1686', '1661', '1674', '1699', '1655', '1670', '1655', '1669', '1', '0', '1', '0', '2', '3', '4', '4', '2', '1', '1673', '2', '3', '3', '1', '2', '15', '4', '0', '2', '16', '3', '4', '4', '3']","[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
code_12.py,0.11538461538461539,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['2', '3', '0', '2', '1', '1', '10', '3', '19', '3', '26', '2', '0', '19', '1748', '1', '5', '4', '11', '0', '2', '3', '18', '1751', '4', '12', '5', '1737', '10', '1755', '1719', '1724', '17', '21', '1714', '15', '1755', '1736', '1727', '1742', '22', '1749', '1753', '1741', '1701', '1737', '1730', '1745', '1750', '1706', '1721', '1724', '1740', '3', '1', '2', '1', '5', '5', '8', '7', '4', '2', '1724', '3', '7', '6', '3', '3', '21', '7', '2', '4', '22', '6', '6', '6', '6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
code_5.py,0.11538461538461539,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['2', '3', '0', '2', '1', '1', '10', '3', '19', '3', '26', '2', '0', '19', '1748', '1', '5', '4', '11', '0', '2', '3', '18', '1751', '4', '12', '5', '1737', '10', '1755', '1719', '1724', '17', '21', '1714', '15', '1755', '1736', '1727', '1742', '22', '1749', '1753', '1741', '1701', '1737', '1730', '1745', '1750', '1706', '1721', '1724', '1740', '3', '1', '2', '1', '5', '5', '8', '7', '4', '2', '1724', '3', '7', '6', '3', '3', '21', '7', '2', '4', '22', '6', '6', '6', '6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
code_15.py,0.11538461538461539,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['2', '3', '0', '2', '1', '1', '10', '3', '19', '3', '26', '2', '0', '19', '1748', '1', '5', '4', '11', '0', '2', '3', '18', '1751', '4', '12', '5', '1737', '10', '1755', '1719', '1724', '17', '21', '1714', '15', '1755', '1736', '1727', '1742', '22', '1749', '1753', '1741', '1701', '1737', '1730', '1745', '1750', '1706', '1721', '1724', '1740', '3', '1', '2', '1', '5', '5', '8', '7', '4', '2', '1724', '3', '7', '6', '3', '3', '21', '7', '2', '4', '22', '6', '6', '6', '6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
code_2.py,0.16666666666666666,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['0', '0', '0', '-1', '-1', '0', '-6', '0', '-3', '-2', '-10', '0', '0', '-5', '-404', '0', '-3', '-1', '-3', '0', '0', '0', '-3', '-404', '-4', '-3', '-2', '-409', '-3', '-426', '-462', '-467', '-3', '-12', '-436', '-4', '-408', '-410', '-469', '-485', '-11', '-470', '-408', '-405', '-467', '-475', '-485', '-470', '-411', '-469', '-464', '-485', '-472', '-1', '-1', '-1', '-1', '0', '0', '-1', '-3', '-1', '-2', '-445', '0', '-2', '-3', '-1', '-1', '-10', '-3', '-2', '-2', '-9', '-3', '0', '-1', '-4']","[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
code_11.py,0.1282051282051282,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['2', '3', '0', '2', '1', '1', '9', '3', '19', '3', '26', '2', '0', '12', '1727', '1', '4', '3', '7', '0', '1', '3', '18', '1734', '3', '10', '5', '1720', '6', '1736', '1700', '1706', '17', '21', '1692', '15', '1739', '1719', '1709', '1706', '22', '1702', '1737', '1724', '1684', '1719', '1694', '1698', '1734', '1689', '1700', '1688', '1693', '3', '1', '2', '1', '4', '5', '7', '7', '4', '2', '1703', '3', '6', '6', '3', '3', '17', '6', '1', '4', '18', '3', '6', '6', '6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
code_6.py,0.11538461538461539,"['0', '0', '0', '1', '1', '0', '7', '0', '4', '4', '12', '0', '0', '17', '761', '0', '4', '2', '10', '0', '1', '0', '3', '758', '5', '9', '2', '772', '11', '1479', '1515', '1510', '4', '16', '795', '6', '774', '773', '1549', '1771', '15', '2658', '776', '768', '1533', '1543', '1783', '2662', '779', '1528', '1559', '1789', '2667', '1', '2', '1', '1', '1', '0', '2', '5', '1', '2', '1510', '0', '3', '6', '2', '1', '16', '5', '3', '2', '15', '6', '0', '1', '6']","['2', '3', '0', '2', '1', '1', '10', '3', '19', '3', '26', '2', '0', '19', '1748', '1', '5', '4', '11', '0', '2', '3', '18', '1751', '4', '12', '5', '1737', '10', '1755', '1719', '1724', '17', '21', '1714', '15', '1755', '1736', '1727', '1742', '22', '1749', '1753', '1741', '1701', '1737', '1730', '1745', '1750', '1706', '1721', '1724', '1740', '3', '1', '2', '1', '5', '5', '8', '7', '4', '2', '1724', '3', '7', '6', '3', '3', '21', '7', '2', '4', '22', '6', '6', '6', '6']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
