File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_19.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['54', '598731869', '331155249', '300', '897145763', '401878079', '87761390', '479412560', '749498', '210', '22', '450544', '332', '749498', '749498', '300', '22', '938352463', '274320250']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_28.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_18.py,0.0,[],[],[]
code_27.py,0.0,[],[],[]
code_13.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['3', '602455413', '402079124', '0', '248275009', '0', '0', '359904954', '520476760', '0', '3', '0', '36288', '249346606', '347424110', '0', '0', '0', '786316071']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_23.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,[],[],[]
code_16.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_22.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['98', '195004632', '471495057', '0', '756569808', '0', '0', '360737665', '665802495', '0', '3', '0', '22199', '497497686', '212553859', '0', '0', '0', '592230436']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['4', '1', '2', '2', '1', '2', '83702', '7', '499', '3', '1', '248966317', '2', '250', '1', '38', '4', '5', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_26.py,0.05263157894736842,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['6', '600566461', '54555853', '998243069', '280430937', '616573847', '803062578', '658161105', '616809164', '40', '2', '122895995', '252', '927405440', '616809164', '1236', '4', '483896668', '248872979']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.0,[],[],[]
code_5.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['39', '380318320', '950401057', '1970', '334715564', '250248405', '877784624', '33787539', '233867184', '550', '8', '581435264', '1016', '427845408', '655693867', '2147', '17', '262253487', '690454069']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_15.py,0.0,[],[],[]
code_21.py,0.05263157894736842,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['14', '501856243', '918273234', '0', '891552390', '0', '0', '0', '440677473', '0', '8', '0', '4240', '872399654', '611754964', '0', '0', '0', '0']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_2.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
