File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_4.py,0.0,[],[],[]
code_0.py,0.0,[],[],[]
code_1.py,0.0,[],[],[]
code_5.py,0.0,[],[],[]
code_2.py,0.0,[],[],[]
code_11.py,0.0,[],[],[]
code_6.py,0.0,[],[],[]
code_10.py,0.0,[],[],[]
code_7.py,0.0,[],[],[]
code_3.py,0.0,[],[],[]
code_8.py,0.0,[],[],[]
code_9.py,0.045454545454545456,"['941983557', '694848220', '650576768', '883116905', '650576268', '564457212', '707282050', '577285425', '795882103', '191040', '624480', '216184722', '1', '881138449', '685902629', '120', '256', '10', '628377683', '374623273', '790889957', '290751171']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
